,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,42.0,15.0,820nm,50130,20240618_061824_maize_4191_1_DA,0,0.042,rice,4191_1_DA.json,0,-2.298737444558012
4,4,p700_reference,47.0,20.0,820nm,50147,20240618_061824_maize_4191_1_DA,0,0.047,rice,4191_1_DA.json,0,-2.299516988474978
5,5,p700_reference,52.0,25.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.052,rice,4191_1_DA.json,0,-2.300067254769307
6,6,p700_reference,57.0,30.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.057,rice,4191_1_DA.json,0,-2.2997004105730876
7,7,p700_reference,62.0,35.0,820nm,50140,20240618_061824_maize_4191_1_DA,0,0.062,rice,4191_1_DA.json,0,-2.299195999803286
8,8,p700_reference,67.0,40.0,820nm,50142,20240618_061824_maize_4191_1_DA,0,0.067,rice,4191_1_DA.json,0,-2.299287710852341
9,9,p700_reference,72.0,45.0,820nm,50167,20240618_061824_maize_4191_1_DA,0,0.072,rice,4191_1_DA.json,0,-2.3004340989655256
10,10,p700_reference,77.0,50.0,820nm,50150,20240618_061824_maize_4191_1_DA,0,0.077,rice,4191_1_DA.json,0,-2.2996545550485603
11,11,p700_reference,82.0,55.0,820nm,50153,20240618_061824_maize_4191_1_DA,0,0.082,rice,4191_1_DA.json,0,-2.299792121622142
12,12,p700_reference,87.0,60.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.087,rice,4191_1_DA.json,0,-2.2997004105730876
13,13,p700_reference,92.0,65.0,820nm,50155,20240618_061824_maize_4191_1_DA,0,0.092,rice,4191_1_DA.json,0,-2.2998838326711972
14,14,p700_reference,97.0,70.0,820nm,50163,20240618_061824_maize_4191_1_DA,0,0.097,rice,4191_1_DA.json,0,-2.300250676867416
15,15,p700_reference,102.0,75.0,820nm,50156,20240618_061824_maize_4191_1_DA,0,0.102,rice,4191_1_DA.json,0,-2.2999296881957245
16,16,p700_reference,107.0,80.0,820nm,50171,20240618_061824_maize_4191_1_DA,0,0.107,rice,4191_1_DA.json,0,-2.3006175210636353
17,17,p700_reference,112.0,85.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.112,rice,4191_1_DA.json,0,-2.2997004105730876
18,18,p700_reference,117.0,90.0,820nm,50153,20240618_061824_maize_4191_1_DA,0,0.117,rice,4191_1_DA.json,0,-2.299792121622142
19,19,p700_reference,122.0,95.0,820nm,50154,20240618_061824_maize_4191_1_DA,0,0.122,rice,4191_1_DA.json,0,-2.2998379771466695
20,20,p700_reference,127.0,100.0,820nm,50161,20240618_061824_maize_4191_1_DA,0,0.127,rice,4191_1_DA.json,0,-2.3001589658183614
21,21,p700_reference,132.0,105.0,820nm,50154,20240618_061824_maize_4191_1_DA,0,0.132,rice,4191_1_DA.json,0,-2.2998379771466695
22,22,p700_reference,137.0,110.0,820nm,50134,20240618_061824_maize_4191_1_DA,0,0.137,rice,4191_1_DA.json,0,-2.298920866656122
23,23,p700_reference,142.0,115.0,820nm,50147,20240618_061824_maize_4191_1_DA,0,0.142,rice,4191_1_DA.json,0,-2.299516988474978
24,24,p700_reference,147.0,120.0,820nm,50147,20240618_061824_maize_4191_1_DA,0,0.147,rice,4191_1_DA.json,0,-2.299516988474978
25,25,p700_reference,152.0,125.0,820nm,50151,20240618_061824_maize_4191_1_DA,0,0.152,rice,4191_1_DA.json,0,-2.2997004105730876
26,26,p700_reference,157.0,130.0,820nm,50157,20240618_061824_maize_4191_1_DA,0,0.157,rice,4191_1_DA.json,0,-2.299975543720252
27,27,p700_reference,162.0,135.0,820nm,50158,20240618_061824_maize_4191_1_DA,0,0.162,rice,4191_1_DA.json,0,-2.300021399244779
28,28,p700_reference,167.0,140.0,820nm,50163,20240618_061824_maize_4191_1_DA,0,0.167,rice,4191_1_DA.json,0,-2.300250676867416
29,29,p700_reference,172.0,145.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.172,rice,4191_1_DA.json,0,-2.300067254769307
30,30,p700_reference,177.0,150.0,820nm,50161,20240618_061824_maize_4191_1_DA,0,0.177,rice,4191_1_DA.json,0,-2.3001589658183614
31,31,p700_reference,182.0,155.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.182,rice,4191_1_DA.json,0,-2.300067254769307
32,32,p700_reference,187.0,160.0,820nm,50159,20240618_061824_maize_4191_1_DA,0,0.187,rice,4191_1_DA.json,0,-2.300067254769307
