,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,49683,20240618_061824_maize_4191_2_DA,0,0.042,rice,4191_2_DA.json,0,-2.298738422914649,0.03780164670128012
1,4,4,p700_reference,47.0,20.0,820nm,49691,20240618_061824_maize_4191_2_DA,0,0.047,rice,4191_2_DA.json,0,-2.2991085677807663,0.02632971693377742
2,5,5,p700_reference,52.0,25.0,820nm,49686,20240618_061824_maize_4191_2_DA,0,0.052,rice,4191_2_DA.json,0,-2.298877227239443,0.033499673038466606
3,6,6,p700_reference,57.0,30.0,820nm,49691,20240618_061824_maize_4191_2_DA,0,0.057,rice,4191_2_DA.json,0,-2.2991085677807663,0.02632971693377742
4,7,7,p700_reference,62.0,35.0,820nm,49691,20240618_061824_maize_4191_2_DA,0,0.062,rice,4191_2_DA.json,0,-2.2991085677807663,0.02632971693377742
5,8,8,p700_reference,67.0,40.0,820nm,49693,20240618_061824_maize_4191_2_DA,0,0.067,rice,4191_2_DA.json,0,-2.299201103997296,0.023461734491887983
6,9,9,p700_reference,72.0,45.0,820nm,49703,20240618_061824_maize_4191_2_DA,0,0.072,rice,4191_2_DA.json,0,-2.299663785079942,0.009121822282537138
7,10,10,p700_reference,77.0,50.0,820nm,49679,20240618_061824_maize_4191_2_DA,0,0.077,rice,4191_2_DA.json,0,-2.29855335048159,0.043537611585031465
8,11,11,p700_reference,82.0,55.0,820nm,49691,20240618_061824_maize_4191_2_DA,0,0.082,rice,4191_2_DA.json,0,-2.2991085677807663,0.02632971693377742
9,12,12,p700_reference,87.0,60.0,820nm,49703,20240618_061824_maize_4191_2_DA,0,0.087,rice,4191_2_DA.json,0,-2.299663785079942,0.009121822282537138
10,13,13,p700_reference,92.0,65.0,820nm,49699,20240618_061824_maize_4191_2_DA,0,0.092,rice,4191_2_DA.json,0,-2.299478712646884,0.014857787166274722
11,14,14,p700_reference,97.0,70.0,820nm,49693,20240618_061824_maize_4191_2_DA,0,0.097,rice,4191_2_DA.json,0,-2.299201103997296,0.023461734491887983
12,15,15,p700_reference,102.0,75.0,820nm,49683,20240618_061824_maize_4191_2_DA,0,0.102,rice,4191_2_DA.json,0,-2.298738422914649,0.03780164670128012
13,16,16,p700_reference,107.0,80.0,820nm,49703,20240618_061824_maize_4191_2_DA,0,0.107,rice,4191_2_DA.json,0,-2.299663785079942,0.009121822282537138
14,17,17,p700_reference,112.0,85.0,820nm,49699,20240618_061824_maize_4191_2_DA,0,0.112,rice,4191_2_DA.json,0,-2.299478712646884,0.014857787166274722
15,18,18,p700_reference,117.0,90.0,820nm,49705,20240618_061824_maize_4191_2_DA,0,0.117,rice,4191_2_DA.json,0,-2.299756321296472,0.0062538398406477
16,19,19,p700_reference,122.0,95.0,820nm,49705,20240618_061824_maize_4191_2_DA,0,0.122,rice,4191_2_DA.json,0,-2.299756321296472,0.0062538398406477
17,20,20,p700_reference,127.0,100.0,820nm,49707,20240618_061824_maize_4191_2_DA,0,0.127,rice,4191_2_DA.json,0,-2.2998488575130014,0.0033858573987720257
18,21,21,p700_reference,132.0,105.0,820nm,49701,20240618_061824_maize_4191_2_DA,0,0.132,rice,4191_2_DA.json,0,-2.299571248863413,0.011989804724412812
19,22,22,p700_reference,137.0,110.0,820nm,49689,20240618_061824_maize_4191_2_DA,0,0.137,rice,4191_2_DA.json,0,-2.299016031564237,0.029197699375653093
20,23,23,p700_reference,142.0,115.0,820nm,49691,20240618_061824_maize_4191_2_DA,0,0.142,rice,4191_2_DA.json,0,-2.2991085677807663,0.02632971693377742
21,24,24,p700_reference,147.0,120.0,820nm,49695,20240618_061824_maize_4191_2_DA,0,0.147,rice,4191_2_DA.json,0,-2.299293640213825,0.02059375205002607
22,25,25,p700_reference,152.0,125.0,820nm,49704,20240618_061824_maize_4191_2_DA,0,0.152,rice,4191_2_DA.json,0,-2.2997100531882078,0.007687831061571773
23,26,26,p700_reference,157.0,130.0,820nm,49707,20240618_061824_maize_4191_2_DA,0,0.157,rice,4191_2_DA.json,0,-2.2998488575130014,0.0033858573987720257
24,27,27,p700_reference,162.0,135.0,820nm,49702,20240618_061824_maize_4191_2_DA,0,0.162,rice,4191_2_DA.json,0,-2.299617516971678,0.010555813503461211
25,28,28,p700_reference,167.0,140.0,820nm,49704,20240618_061824_maize_4191_2_DA,0,0.167,rice,4191_2_DA.json,0,-2.2997100531882078,0.007687831061571773
