plant_species,plant_genotype,plant_id,fvfm,250,500,1000,1700
rice,4191_1_DA.json,0,0.85,0.64,0.56,0.44,0.32
rice,4191_2_DA.json,0,0.82,0.61,0.53,0.4,0.27
rice,4191_3_DA.json,0,0.85,0.65,0.6,0.47,0.34
rice,4192_1_DA.json,0,0.86,0.63,0.53,0.45,0.3
rice,4192_2_DA.json,0,0.85,0.61,0.53,0.44,0.29
rice,4192_3_DA.json,0,0.83,0.6,0.5,0.37,0.27
rice,4193_1_DA.json,0,0.88,0.67,0.58,0.47,0.35
rice,4193_2_DA.json,0,0.85,0.64,0.55,0.44,0.31
rice,4193_3_DA.json,0,0.83,0.63,0.56,0.42,0.26
rice,4193_4_DA.json,0,0.83,0.58,0.47,0.41,0.26
rice,4193_5_DA.json,0,0.84,0.6,0.53,0.4,0.29
rice,HC69_1_DA.json,0,0.89,0.67,0.61,0.46,0.37
rice,HC69_2_DA.json,0,0.87,0.62,0.55,0.42,0.29
rice,HC69_3_DA.json,0,0.81,0.62,0.55,0.43,0.29
rice,HC69_4_DA.json,0,0.81,0.58,0.5,0.36,0.28
rice,HC69_5_DA.json,0,0.83,0.61,0.52,0.42,0.24
rice,test_1_DA.json,0,0.87,0.61,0.58,0.43,0.29
