,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,41.0,15.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.041,rice,HC69_2_DA.json,0,-2.2995311024635896
4,4,p700_reference,46.0,20.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.046,rice,HC69_2_DA.json,0,-2.2995311024635896
5,5,p700_reference,51.0,25.0,820nm,55895,20240623_062324_maize_HC69_2_DA,0,0.051,rice,HC69_2_DA.json,0,-2.2990375261094735
6,6,p700_reference,56.0,30.0,820nm,55895,20240623_062324_maize_HC69_2_DA,0,0.056,rice,HC69_2_DA.json,0,-2.2990375261094735
7,7,p700_reference,61.0,35.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.061,rice,HC69_2_DA.json,0,-2.2995311024635896
8,8,p700_reference,66.0,40.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.066,rice,HC69_2_DA.json,0,-2.2995311024635896
9,9,p700_reference,71.0,45.0,820nm,55911,20240623_062324_maize_HC69_2_DA,0,0.071,rice,HC69_2_DA.json,0,-2.2996956279149616
10,10,p700_reference,76.0,50.0,820nm,55915,20240623_062324_maize_HC69_2_DA,0,0.076,rice,HC69_2_DA.json,0,-2.2998601533663336
11,11,p700_reference,81.0,55.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.081,rice,HC69_2_DA.json,0,-2.2995311024635896
12,12,p700_reference,86.0,60.0,820nm,55906,20240623_062324_maize_HC69_2_DA,0,0.086,rice,HC69_2_DA.json,0,-2.299489971100747
13,13,p700_reference,91.0,65.0,820nm,55905,20240623_062324_maize_HC69_2_DA,0,0.091,rice,HC69_2_DA.json,0,-2.2994488397379036
14,14,p700_reference,96.0,70.0,820nm,55914,20240623_062324_maize_HC69_2_DA,0,0.096,rice,HC69_2_DA.json,0,-2.2998190220034904
15,15,p700_reference,101.0,75.0,820nm,55919,20240623_062324_maize_HC69_2_DA,0,0.101,rice,HC69_2_DA.json,0,-2.3000246788177057
16,16,p700_reference,106.0,80.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.106,rice,HC69_2_DA.json,0,-2.2995311024635896
17,17,p700_reference,111.0,85.0,820nm,55906,20240623_062324_maize_HC69_2_DA,0,0.111,rice,HC69_2_DA.json,0,-2.299489971100747
18,18,p700_reference,116.0,90.0,820nm,55899,20240623_062324_maize_HC69_2_DA,0,0.116,rice,HC69_2_DA.json,0,-2.2992020515608456
19,19,p700_reference,121.0,95.0,820nm,55910,20240623_062324_maize_HC69_2_DA,0,0.121,rice,HC69_2_DA.json,0,-2.2996544965521184
20,20,p700_reference,126.0,100.0,820nm,55911,20240623_062324_maize_HC69_2_DA,0,0.126,rice,HC69_2_DA.json,0,-2.2996956279149616
21,21,p700_reference,131.0,105.0,820nm,55919,20240623_062324_maize_HC69_2_DA,0,0.131,rice,HC69_2_DA.json,0,-2.3000246788177057
22,22,p700_reference,136.0,110.0,820nm,55919,20240623_062324_maize_HC69_2_DA,0,0.136,rice,HC69_2_DA.json,0,-2.3000246788177057
23,23,p700_reference,141.0,115.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.141,rice,HC69_2_DA.json,0,-2.2995311024635896
24,24,p700_reference,146.0,120.0,820nm,55919,20240623_062324_maize_HC69_2_DA,0,0.146,rice,HC69_2_DA.json,0,-2.3000246788177057
25,25,p700_reference,151.0,125.0,820nm,55921,20240623_062324_maize_HC69_2_DA,0,0.151,rice,HC69_2_DA.json,0,-2.3001069415433917
26,26,p700_reference,156.0,130.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.156,rice,HC69_2_DA.json,0,-2.2995311024635896
27,27,p700_reference,161.0,135.0,820nm,55917,20240623_062324_maize_HC69_2_DA,0,0.161,rice,HC69_2_DA.json,0,-2.2999424160920197
28,28,p700_reference,166.0,140.0,820nm,55907,20240623_062324_maize_HC69_2_DA,0,0.166,rice,HC69_2_DA.json,0,-2.2995311024635896
29,29,p700_reference,171.0,145.0,820nm,55919,20240623_062324_maize_HC69_2_DA,0,0.171,rice,HC69_2_DA.json,0,-2.3000246788177057
30,30,p700_reference,176.0,150.0,820nm,55915,20240623_062324_maize_HC69_2_DA,0,0.176,rice,HC69_2_DA.json,0,-2.2998601533663336
31,31,p700_reference,181.0,155.0,820nm,55918,20240623_062324_maize_HC69_2_DA,0,0.181,rice,HC69_2_DA.json,0,-2.2999835474548624
32,32,p700_reference,186.0,160.0,820nm,55923,20240623_062324_maize_HC69_2_DA,0,0.186,rice,HC69_2_DA.json,0,-2.3001892042690777
33,33,p700_reference,191.0,165.0,820nm,55915,20240623_062324_maize_HC69_2_DA,0,0.191,rice,HC69_2_DA.json,0,-2.2998601533663336
34,34,p700_reference,196.0,170.0,820nm,55899,20240623_062324_maize_HC69_2_DA,0,0.196,rice,HC69_2_DA.json,0,-2.2992020515608456
35,35,p700_reference,201.0,175.0,820nm,55923,20240623_062324_maize_HC69_2_DA,0,0.201,rice,HC69_2_DA.json,0,-2.3001892042690777
36,36,p700_reference,206.0,180.0,820nm,55911,20240623_062324_maize_HC69_2_DA,0,0.206,rice,HC69_2_DA.json,0,-2.2996956279149616
