,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,52459,20240725_0725rice_USDA_BMF136_1_DA,3,0.042,rice,BMF136,1,-2.2996025519014105,0.013611218894032865
1,4,4,p700_reference,47.0,20.0,820nm,52463,20240725_0725rice_USDA_BMF136_1_DA,4,0.047,rice,BMF136,1,-2.299777896650788,0.007339753509212583
2,5,5,p700_reference,52.0,25.0,820nm,52455,20240725_0725rice_USDA_BMF136_1_DA,5,0.052,rice,BMF136,1,-2.2994272071520325,0.01988268427886903
3,6,6,p700_reference,57.0,30.0,820nm,52465,20240725_0725rice_USDA_BMF136_1_DA,6,0.057,rice,BMF136,1,-2.299865569025477,0.004204020816794501
4,7,7,p700_reference,62.0,35.0,820nm,52450,20240725_0725rice_USDA_BMF136_1_DA,7,0.062,rice,BMF136,1,-2.2992080262153105,0.02772201600989835
5,8,8,p700_reference,67.0,40.0,820nm,52465,20240725_0725rice_USDA_BMF136_1_DA,8,0.067,rice,BMF136,1,-2.299865569025477,0.004204020816794501
6,9,9,p700_reference,72.0,45.0,820nm,52452,20240725_0725rice_USDA_BMF136_1_DA,9,0.072,rice,BMF136,1,-2.299295698589999,0.02458628331749615
7,10,10,p700_reference,77.0,50.0,820nm,52459,20240725_0725rice_USDA_BMF136_1_DA,10,0.077,rice,BMF136,1,-2.2996025519014105,0.013611218894032865
8,11,11,p700_reference,82.0,55.0,820nm,52457,20240725_0725rice_USDA_BMF136_1_DA,11,0.082,rice,BMF136,1,-2.299514879526721,0.01674695158646683
9,12,12,p700_reference,87.0,60.0,820nm,52467,20240725_0725rice_USDA_BMF136_1_DA,12,0.087,rice,BMF136,1,-2.299953241400166,0.0010682881243764186
10,13,13,p700_reference,92.0,65.0,820nm,52470,20240725_0725rice_USDA_BMF136_1_DA,13,0.092,rice,BMF136,1,-2.3000847499621995,-0.0036353109142507048
11,14,14,p700_reference,97.0,70.0,820nm,52463,20240725_0725rice_USDA_BMF136_1_DA,14,0.097,rice,BMF136,1,-2.299777896650788,0.007339753509212583
12,15,15,p700_reference,102.0,75.0,820nm,52471,20240725_0725rice_USDA_BMF136_1_DA,15,0.102,rice,BMF136,1,-2.3001285861495435,-0.0052031772604438625
13,16,16,p700_reference,107.0,80.0,820nm,52473,20240725_0725rice_USDA_BMF136_1_DA,16,0.107,rice,BMF136,1,-2.3002162585242325,-0.008338909952861944
14,17,17,p700_reference,112.0,85.0,820nm,52459,20240725_0725rice_USDA_BMF136_1_DA,17,0.112,rice,BMF136,1,-2.2996025519014105,0.013611218894032865
15,18,18,p700_reference,117.0,90.0,820nm,52458,20240725_0725rice_USDA_BMF136_1_DA,18,0.117,rice,BMF136,1,-2.299558715714066,0.015179085240241905
16,19,19,p700_reference,122.0,95.0,820nm,52469,20240725_0725rice_USDA_BMF136_1_DA,19,0.122,rice,BMF136,1,-2.3000409137748545,-0.00206744456802578
17,20,20,p700_reference,127.0,100.0,820nm,52463,20240725_0725rice_USDA_BMF136_1_DA,20,0.127,rice,BMF136,1,-2.299777896650788,0.007339753509212583
18,21,21,p700_reference,132.0,105.0,820nm,52465,20240725_0725rice_USDA_BMF136_1_DA,21,0.132,rice,BMF136,1,-2.299865569025477,0.004204020816794501
19,22,22,p700_reference,137.0,110.0,820nm,52464,20240725_0725rice_USDA_BMF136_1_DA,22,0.137,rice,BMF136,1,-2.2998217328381325,0.005771887163003542
20,23,23,p700_reference,142.0,115.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,23,0.142,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
21,24,24,p700_reference,147.0,120.0,820nm,52463,20240725_0725rice_USDA_BMF136_1_DA,24,0.147,rice,BMF136,1,-2.299777896650788,0.007339753509212583
22,25,25,p700_reference,152.0,125.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,25,0.152,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
23,26,26,p700_reference,157.0,130.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,26,0.157,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
24,27,27,p700_reference,162.0,135.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,27,0.162,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
25,28,28,p700_reference,167.0,140.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,28,0.167,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
26,29,29,p700_reference,172.0,145.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,29,0.172,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
27,30,30,p700_reference,177.0,150.0,820nm,52473,20240725_0725rice_USDA_BMF136_1_DA,30,0.177,rice,BMF136,1,-2.3002162585242325,-0.008338909952861944
28,31,31,p700_reference,182.0,155.0,820nm,52469,20240725_0725rice_USDA_BMF136_1_DA,31,0.182,rice,BMF136,1,-2.3000409137748545,-0.00206744456802578
29,32,32,p700_reference,187.0,160.0,820nm,52463,20240725_0725rice_USDA_BMF136_1_DA,32,0.187,rice,BMF136,1,-2.299777896650788,0.007339753509212583
30,33,33,p700_reference,192.0,165.0,820nm,52481,20240725_0725rice_USDA_BMF136_1_DA,33,0.192,rice,BMF136,1,-2.300566948022988,-0.02088184072251839
31,34,34,p700_reference,197.0,170.0,820nm,52467,20240725_0725rice_USDA_BMF136_1_DA,34,0.197,rice,BMF136,1,-2.299953241400166,0.0010682881243764186
32,35,35,p700_reference,202.0,175.0,820nm,52463,20240725_0725rice_USDA_BMF136_1_DA,35,0.202,rice,BMF136,1,-2.299777896650788,0.007339753509212583
33,36,36,p700_reference,207.0,180.0,820nm,52473,20240725_0725rice_USDA_BMF136_1_DA,36,0.207,rice,BMF136,1,-2.3002162585242325,-0.008338909952861944
34,37,37,p700_reference,212.0,185.0,820nm,52477,20240725_0725rice_USDA_BMF136_1_DA,37,0.212,rice,BMF136,1,-2.30039160327361,-0.014610375337682224
35,38,38,p700_reference,217.0,190.0,820nm,52458,20240725_0725rice_USDA_BMF136_1_DA,38,0.217,rice,BMF136,1,-2.299558715714066,0.015179085240241905
36,39,39,p700_reference,222.0,195.0,820nm,52471,20240725_0725rice_USDA_BMF136_1_DA,39,0.222,rice,BMF136,1,-2.3001285861495435,-0.0052031772604438625
37,40,40,p700_reference,227.0,200.0,820nm,52469,20240725_0725rice_USDA_BMF136_1_DA,40,0.227,rice,BMF136,1,-2.3000409137748545,-0.00206744456802578
38,41,41,p700_reference,232.0,205.0,820nm,52477,20240725_0725rice_USDA_BMF136_1_DA,41,0.232,rice,BMF136,1,-2.30039160327361,-0.014610375337682224
39,42,42,p700_reference,237.0,210.0,820nm,52479,20240725_0725rice_USDA_BMF136_1_DA,42,0.237,rice,BMF136,1,-2.3004792756482986,-0.017746108030084425
40,43,43,p700_reference,242.0,215.0,820nm,52478,20240725_0725rice_USDA_BMF136_1_DA,43,0.242,rice,BMF136,1,-2.300435439460954,-0.016178241683875383
41,44,44,p700_reference,247.0,220.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,44,0.247,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
42,45,45,p700_reference,252.0,225.0,820nm,52479,20240725_0725rice_USDA_BMF136_1_DA,45,0.252,rice,BMF136,1,-2.3004792756482986,-0.017746108030084425
43,46,46,p700_reference,257.0,230.0,820nm,52472,20240725_0725rice_USDA_BMF136_1_DA,46,0.257,rice,BMF136,1,-2.300172422336888,-0.006771043606652903
44,47,47,p700_reference,262.0,235.0,820nm,52467,20240725_0725rice_USDA_BMF136_1_DA,47,0.262,rice,BMF136,1,-2.299953241400166,0.0010682881243764186
45,48,48,p700_reference,267.0,240.0,820nm,52462,20240725_0725rice_USDA_BMF136_1_DA,48,0.267,rice,BMF136,1,-2.2997340604634435,0.008907619855421624
46,49,49,p700_reference,272.0,245.0,820nm,52471,20240725_0725rice_USDA_BMF136_1_DA,49,0.272,rice,BMF136,1,-2.3001285861495435,-0.0052031772604438625
47,50,50,p700_reference,277.0,250.0,820nm,52483,20240725_0725rice_USDA_BMF136_1_DA,50,0.277,rice,BMF136,1,-2.3006546203976765,-0.024017573414920588
48,51,51,p700_reference,282.0,255.0,820nm,52469,20240725_0725rice_USDA_BMF136_1_DA,51,0.282,rice,BMF136,1,-2.3000409137748545,-0.00206744456802578
49,52,52,p700_reference,287.0,260.0,820nm,52471,20240725_0725rice_USDA_BMF136_1_DA,52,0.287,rice,BMF136,1,-2.3001285861495435,-0.0052031772604438625
50,53,53,p700_reference,292.0,265.0,820nm,52473,20240725_0725rice_USDA_BMF136_1_DA,53,0.292,rice,BMF136,1,-2.3002162585242325,-0.008338909952861944
51,54,54,p700_reference,297.0,270.0,820nm,52475,20240725_0725rice_USDA_BMF136_1_DA,54,0.297,rice,BMF136,1,-2.300303930898921,-0.011474642645264143
52,55,55,p700_reference,302.0,275.0,820nm,52473,20240725_0725rice_USDA_BMF136_1_DA,55,0.302,rice,BMF136,1,-2.3002162585242325,-0.008338909952861944
