,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,51539,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,3,0.042,rice,Pho1DL80[K]#12,1,-2.29927430627844,0.024990225326083377
1,4,4,p700_reference,47.0,20.0,820nm,51547,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,4,0.047,rice,Pho1DL80[K]#12,1,-2.2996312048300265,0.013729239036536887
2,5,5,p700_reference,52.0,25.0,820nm,51542,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,5,0.052,rice,Pho1DL80[K]#12,1,-2.299408143235285,0.02076735546749819
3,6,6,p700_reference,57.0,30.0,820nm,51546,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,6,0.057,rice,Pho1DL80[K]#12,1,-2.2995865925110786,0.015136862322717938
4,7,7,p700_reference,62.0,35.0,820nm,51547,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,7,0.062,rice,Pho1DL80[K]#12,1,-2.2996312048300265,0.013729239036536887
5,8,8,p700_reference,67.0,40.0,820nm,51547,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,8,0.067,rice,Pho1DL80[K]#12,1,-2.2996312048300265,0.013729239036536887
6,9,9,p700_reference,72.0,45.0,820nm,51546,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,9,0.072,rice,Pho1DL80[K]#12,1,-2.2995865925110786,0.015136862322717938
7,10,10,p700_reference,77.0,50.0,820nm,51558,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,10,0.077,rice,Pho1DL80[K]#12,1,-2.3001219403384585,-0.0017546171116088038
8,11,11,p700_reference,82.0,55.0,820nm,51545,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,11,0.082,rice,Pho1DL80[K]#12,1,-2.2995419801921297,0.016544485608927014
9,12,12,p700_reference,87.0,60.0,820nm,51545,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,12,0.087,rice,Pho1DL80[K]#12,1,-2.2995419801921297,0.016544485608927014
10,13,13,p700_reference,92.0,65.0,820nm,51537,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,13,0.092,rice,Pho1DL80[K]#12,1,-2.2991850816405432,0.027805471898473502
11,14,14,p700_reference,97.0,70.0,820nm,51550,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,14,0.097,rice,Pho1DL80[K]#12,1,-2.299765041786872,0.009506369177937686
12,15,15,p700_reference,102.0,75.0,820nm,51547,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,15,0.102,rice,Pho1DL80[K]#12,1,-2.2996312048300265,0.013729239036536887
13,16,16,p700_reference,107.0,80.0,820nm,51554,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,16,0.107,rice,Pho1DL80[K]#12,1,-2.299943491062665,0.0038758760331714477
14,17,17,p700_reference,112.0,85.0,820nm,51558,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,17,0.112,rice,Pho1DL80[K]#12,1,-2.3001219403384585,-0.0017546171116088038
15,18,18,p700_reference,117.0,90.0,820nm,51551,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,18,0.117,rice,Pho1DL80[K]#12,1,-2.29980965410582,0.008098745891756636
16,19,19,p700_reference,122.0,95.0,820nm,51563,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,19,0.122,rice,Pho1DL80[K]#12,1,-2.3003450019332004,-0.008792733542584117
17,20,20,p700_reference,127.0,100.0,820nm,51547,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,20,0.127,rice,Pho1DL80[K]#12,1,-2.2996312048300265,0.013729239036536887
18,21,21,p700_reference,132.0,105.0,820nm,51551,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,21,0.132,rice,Pho1DL80[K]#12,1,-2.29980965410582,0.008098745891756636
19,22,22,p700_reference,137.0,110.0,820nm,51550,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,22,0.137,rice,Pho1DL80[K]#12,1,-2.299765041786872,0.009506369177937686
20,23,23,p700_reference,142.0,115.0,820nm,51547,20240725_0725rice_USDA_Pho1DL80[K]#12_1_DA,23,0.142,rice,Pho1DL80[K]#12,1,-2.2996312048300265,0.013729239036536887
