,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,43.0,15.0,820nm,52470,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,3,0.043,rice,Pho1DL80[K]#4,2,-2.299944477548982
4,4,p700_reference,48.0,20.0,820nm,52457,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,4,0.048,rice,Pho1DL80[K]#4,2,-2.299374641867485
5,5,p700_reference,53.0,25.0,820nm,52451,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,5,0.053,rice,Pho1DL80[K]#4,2,-2.2991116407837175
6,6,p700_reference,58.0,30.0,820nm,52469,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,6,0.058,rice,Pho1DL80[K]#4,2,-2.299900644035021
7,7,p700_reference,63.0,35.0,820nm,52463,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,7,0.063,rice,Pho1DL80[K]#4,2,-2.299637642951253
8,8,p700_reference,68.0,40.0,820nm,52465,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,8,0.068,rice,Pho1DL80[K]#4,2,-2.2997253099791752
9,9,p700_reference,73.0,45.0,820nm,52472,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,9,0.073,rice,Pho1DL80[K]#4,2,-2.3000321445769045
10,10,p700_reference,78.0,50.0,820nm,52455,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,10,0.078,rice,Pho1DL80[K]#4,2,-2.299286974839563
11,11,p700_reference,83.0,55.0,820nm,52458,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,11,0.083,rice,Pho1DL80[K]#4,2,-2.2994184753814464
12,12,p700_reference,88.0,60.0,820nm,52470,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,12,0.088,rice,Pho1DL80[K]#4,2,-2.299944477548982
13,13,p700_reference,93.0,65.0,820nm,52476,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,13,0.093,rice,Pho1DL80[K]#4,2,-2.3002074786327493
14,14,p700_reference,98.0,70.0,820nm,52463,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,14,0.098,rice,Pho1DL80[K]#4,2,-2.299637642951253
15,15,p700_reference,103.0,75.0,820nm,52461,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,15,0.103,rice,Pho1DL80[K]#4,2,-2.2995499759233304
16,16,p700_reference,108.0,80.0,820nm,52471,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,16,0.108,rice,Pho1DL80[K]#4,2,-2.2999883110629433
17,17,p700_reference,113.0,85.0,820nm,52474,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,17,0.113,rice,Pho1DL80[K]#4,2,-2.300119811604827
18,18,p700_reference,118.0,90.0,820nm,52467,20240725_0725rice_USDA_Pho1DL80[K]#4_2_DA,18,0.118,rice,Pho1DL80[K]#4,2,-2.299812977007098
