,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,42.0,15.0,820nm,49202,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,3,0.042,rice,Pho1[-HT]#1,1,-2.2989346833303537
4,4,p700_reference,47.0,20.0,820nm,49207,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,4,0.047,rice,Pho1[-HT]#1,1,-2.29916830540703
5,5,p700_reference,52.0,25.0,820nm,49214,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,5,0.052,rice,Pho1[-HT]#1,1,-2.2994953763143777
6,6,p700_reference,57.0,30.0,820nm,49203,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,6,0.057,rice,Pho1[-HT]#1,1,-2.2989814077456887
7,7,p700_reference,62.0,35.0,820nm,49214,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,7,0.062,rice,Pho1[-HT]#1,1,-2.2994953763143777
8,8,p700_reference,67.0,40.0,820nm,49203,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,8,0.067,rice,Pho1[-HT]#1,1,-2.2989814077456887
9,9,p700_reference,72.0,45.0,820nm,49215,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,9,0.072,rice,Pho1[-HT]#1,1,-2.299542100729713
10,10,p700_reference,77.0,50.0,820nm,49219,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,10,0.077,rice,Pho1[-HT]#1,1,-2.2997289983910543
11,11,p700_reference,82.0,55.0,820nm,49206,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,11,0.082,rice,Pho1[-HT]#1,1,-2.2991215809916947
12,12,p700_reference,87.0,60.0,820nm,49213,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,12,0.087,rice,Pho1[-HT]#1,1,-2.2994486518990427
13,13,p700_reference,92.0,65.0,820nm,49207,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,13,0.092,rice,Pho1[-HT]#1,1,-2.29916830540703
14,14,p700_reference,97.0,70.0,820nm,49216,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,14,0.097,rice,Pho1[-HT]#1,1,-2.2995888251450483
15,15,p700_reference,102.0,75.0,820nm,49207,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,15,0.102,rice,Pho1[-HT]#1,1,-2.29916830540703
16,16,p700_reference,107.0,80.0,820nm,49203,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,16,0.107,rice,Pho1[-HT]#1,1,-2.2989814077456887
17,17,p700_reference,112.0,85.0,820nm,49205,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,17,0.112,rice,Pho1[-HT]#1,1,-2.2990748565763597
18,18,p700_reference,117.0,90.0,820nm,49208,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,18,0.117,rice,Pho1[-HT]#1,1,-2.2992150298223657
19,19,p700_reference,122.0,95.0,820nm,49213,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,19,0.122,rice,Pho1[-HT]#1,1,-2.2994486518990427
20,20,p700_reference,127.0,100.0,820nm,49211,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,20,0.127,rice,Pho1[-HT]#1,1,-2.2993552030683717
21,21,p700_reference,132.0,105.0,820nm,49195,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,21,0.132,rice,Pho1[-HT]#1,1,-2.2986076124230057
22,22,p700_reference,137.0,110.0,820nm,49207,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,22,0.137,rice,Pho1[-HT]#1,1,-2.29916830540703
23,23,p700_reference,142.0,115.0,820nm,49209,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,23,0.142,rice,Pho1[-HT]#1,1,-2.2992617542377007
24,24,p700_reference,147.0,120.0,820nm,49201,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,24,0.147,rice,Pho1[-HT]#1,1,-2.298887958915018
25,25,p700_reference,152.0,125.0,820nm,49211,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,25,0.152,rice,Pho1[-HT]#1,1,-2.2993552030683717
26,26,p700_reference,157.0,130.0,820nm,49207,20240725_0725rice_USDA_Pho1[-HT]#1_1_DA,26,0.157,rice,Pho1[-HT]#1,1,-2.29916830540703
