,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,41.0,15.0,820nm,56225,20240725_0725rice_USDA_Pho1[K]#11_2_DA,3,0.041,rice,Pho1[K]#11,2,-2.299672789998755,0.01635121797300923
1,4,4,p700_reference,46.0,20.0,820nm,56237,20240725_0725rice_USDA_Pho1[K]#11_2_DA,4,0.046,rice,Pho1[K]#11,2,-2.300163605000622,-0.005981193074682528
2,5,5,p700_reference,51.0,25.0,820nm,56227,20240725_0725rice_USDA_Pho1[K]#11_2_DA,5,0.051,rice,Pho1[K]#11,2,-2.2997545924990663,0.012629149465053868
3,6,6,p700_reference,56.0,30.0,820nm,56231,20240725_0725rice_USDA_Pho1[K]#11_2_DA,6,0.056,rice,Pho1[K]#11,2,-2.2999181974996885,0.005185012449163352
4,7,7,p700_reference,61.0,35.0,820nm,56217,20240725_0725rice_USDA_Pho1[K]#11_2_DA,7,0.061,rice,Pho1[K]#11,2,-2.29934557999751,0.031239492004810472
5,8,8,p700_reference,66.0,40.0,820nm,56231,20240725_0725rice_USDA_Pho1[K]#11_2_DA,8,0.066,rice,Pho1[K]#11,2,-2.2999181974996885,0.005185012449163352
6,9,9,p700_reference,71.0,45.0,820nm,56223,20240725_0725rice_USDA_Pho1[K]#11_2_DA,9,0.071,rice,Pho1[K]#11,2,-2.299590987498444,0.020073286480944388
7,10,10,p700_reference,76.0,50.0,820nm,56224,20240725_0725rice_USDA_Pho1[K]#11_2_DA,10,0.076,rice,Pho1[K]#11,2,-2.2996318887486,0.018212252226966704
8,11,11,p700_reference,81.0,55.0,820nm,56219,20240725_0725rice_USDA_Pho1[K]#11_2_DA,11,0.081,rice,Pho1[K]#11,2,-2.299427382497821,0.027517423496875318
9,12,12,p700_reference,86.0,60.0,820nm,56209,20240725_0725rice_USDA_Pho1[K]#11_2_DA,12,0.086,rice,Pho1[K]#11,2,-2.2990183699962654,0.046127766036611714
10,13,13,p700_reference,91.0,65.0,820nm,56227,20240725_0725rice_USDA_Pho1[K]#11_2_DA,13,0.091,rice,Pho1[K]#11,2,-2.2997545924990663,0.012629149465053868
11,14,14,p700_reference,96.0,70.0,820nm,56227,20240725_0725rice_USDA_Pho1[K]#11_2_DA,14,0.096,rice,Pho1[K]#11,2,-2.2997545924990663,0.012629149465053868
12,15,15,p700_reference,101.0,75.0,820nm,56223,20240725_0725rice_USDA_Pho1[K]#11_2_DA,15,0.101,rice,Pho1[K]#11,2,-2.299590987498444,0.020073286480944388
13,16,16,p700_reference,106.0,80.0,820nm,56219,20240725_0725rice_USDA_Pho1[K]#11_2_DA,16,0.106,rice,Pho1[K]#11,2,-2.299427382497821,0.027517423496875318
14,17,17,p700_reference,111.0,85.0,820nm,56223,20240725_0725rice_USDA_Pho1[K]#11_2_DA,17,0.111,rice,Pho1[K]#11,2,-2.299590987498444,0.020073286480944388
15,18,18,p700_reference,116.0,90.0,820nm,56230,20240725_0725rice_USDA_Pho1[K]#11_2_DA,18,0.116,rice,Pho1[K]#11,2,-2.299877296249533,0.007046046703141033
16,19,19,p700_reference,121.0,95.0,820nm,56229,20240725_0725rice_USDA_Pho1[K]#11_2_DA,19,0.121,rice,Pho1[K]#11,2,-2.299836394999377,0.008907080957118714
17,20,20,p700_reference,126.0,100.0,820nm,56227,20240725_0725rice_USDA_Pho1[K]#11_2_DA,20,0.126,rice,Pho1[K]#11,2,-2.2997545924990663,0.012629149465053868
18,21,21,p700_reference,131.0,105.0,820nm,56232,20240725_0725rice_USDA_Pho1[K]#11_2_DA,21,0.131,rice,Pho1[K]#11,2,-2.299959098749844,0.0033239781951856706
19,22,22,p700_reference,136.0,110.0,820nm,56234,20240725_0725rice_USDA_Pho1[K]#11_2_DA,22,0.136,rice,Pho1[K]#11,2,-2.3000409012501555,-0.0003980903127696914
20,23,23,p700_reference,141.0,115.0,820nm,56238,20240725_0725rice_USDA_Pho1[K]#11_2_DA,23,0.141,rice,Pho1[K]#11,2,-2.3002045062507777,-0.007842227328660209
21,24,24,p700_reference,146.0,120.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,24,0.146,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
22,25,25,p700_reference,151.0,125.0,820nm,56232,20240725_0725rice_USDA_Pho1[K]#11_2_DA,25,0.151,rice,Pho1[K]#11,2,-2.299959098749844,0.0033239781951856706
23,26,26,p700_reference,156.0,130.0,820nm,56237,20240725_0725rice_USDA_Pho1[K]#11_2_DA,26,0.156,rice,Pho1[K]#11,2,-2.300163605000622,-0.005981193074682528
24,27,27,p700_reference,161.0,135.0,820nm,56229,20240725_0725rice_USDA_Pho1[K]#11_2_DA,27,0.161,rice,Pho1[K]#11,2,-2.299836394999377,0.008907080957118714
25,28,28,p700_reference,166.0,140.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,28,0.166,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
26,29,29,p700_reference,171.0,145.0,820nm,56230,20240725_0725rice_USDA_Pho1[K]#11_2_DA,29,0.171,rice,Pho1[K]#11,2,-2.299877296249533,0.007046046703141033
27,30,30,p700_reference,176.0,150.0,820nm,56241,20240725_0725rice_USDA_Pho1[K]#11_2_DA,30,0.176,rice,Pho1[K]#11,2,-2.3003272100012446,-0.01342533009059325
28,31,31,p700_reference,181.0,155.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,31,0.181,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
29,32,32,p700_reference,186.0,160.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,32,0.186,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
30,33,33,p700_reference,191.0,165.0,820nm,56224,20240725_0725rice_USDA_Pho1[K]#11_2_DA,33,0.191,rice,Pho1[K]#11,2,-2.2996318887486,0.018212252226966704
31,34,34,p700_reference,196.0,170.0,820nm,56229,20240725_0725rice_USDA_Pho1[K]#11_2_DA,34,0.196,rice,Pho1[K]#11,2,-2.299836394999377,0.008907080957118714
32,35,35,p700_reference,201.0,175.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,35,0.201,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
33,36,36,p700_reference,206.0,180.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,36,0.206,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
34,37,37,p700_reference,211.0,185.0,820nm,56234,20240725_0725rice_USDA_Pho1[K]#11_2_DA,37,0.211,rice,Pho1[K]#11,2,-2.3000409012501555,-0.0003980903127696914
35,38,38,p700_reference,216.0,190.0,820nm,56215,20240725_0725rice_USDA_Pho1[K]#11_2_DA,38,0.216,rice,Pho1[K]#11,2,-2.299263777497199,0.03496156051276583
36,39,39,p700_reference,221.0,195.0,820nm,56223,20240725_0725rice_USDA_Pho1[K]#11_2_DA,39,0.221,rice,Pho1[K]#11,2,-2.299590987498444,0.020073286480944388
37,40,40,p700_reference,226.0,200.0,820nm,56234,20240725_0725rice_USDA_Pho1[K]#11_2_DA,40,0.226,rice,Pho1[K]#11,2,-2.3000409012501555,-0.0003980903127696914
38,41,41,p700_reference,231.0,205.0,820nm,56225,20240725_0725rice_USDA_Pho1[K]#11_2_DA,41,0.231,rice,Pho1[K]#11,2,-2.299672789998755,0.01635121797300923
39,42,42,p700_reference,236.0,210.0,820nm,56226,20240725_0725rice_USDA_Pho1[K]#11_2_DA,42,0.236,rice,Pho1[K]#11,2,-2.2997136912489107,0.01449018371903155
40,43,43,p700_reference,241.0,215.0,820nm,56239,20240725_0725rice_USDA_Pho1[K]#11_2_DA,43,0.241,rice,Pho1[K]#11,2,-2.3002454075009338,-0.009703261582658097
41,44,44,p700_reference,246.0,220.0,820nm,56243,20240725_0725rice_USDA_Pho1[K]#11_2_DA,44,0.246,rice,Pho1[K]#11,2,-2.300409012501556,-0.017147398598548615
42,45,45,p700_reference,251.0,225.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,45,0.251,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
43,46,46,p700_reference,256.0,230.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,46,0.256,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
44,47,47,p700_reference,261.0,235.0,820nm,56226,20240725_0725rice_USDA_Pho1[K]#11_2_DA,47,0.261,rice,Pho1[K]#11,2,-2.2997136912489107,0.01449018371903155
45,48,48,p700_reference,266.0,240.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,48,0.266,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
46,49,49,p700_reference,271.0,245.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,49,0.271,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
47,50,50,p700_reference,276.0,250.0,820nm,56239,20240725_0725rice_USDA_Pho1[K]#11_2_DA,50,0.276,rice,Pho1[K]#11,2,-2.3002454075009338,-0.009703261582658097
48,51,51,p700_reference,281.0,255.0,820nm,56228,20240725_0725rice_USDA_Pho1[K]#11_2_DA,51,0.281,rice,Pho1[K]#11,2,-2.299795493749221,0.0107681152111166
49,52,52,p700_reference,286.0,260.0,820nm,56206,20240725_0725rice_USDA_Pho1[K]#11_2_DA,52,0.286,rice,Pho1[K]#11,2,-2.2988956662457984,0.05171086879854476
50,53,53,p700_reference,291.0,265.0,820nm,56224,20240725_0725rice_USDA_Pho1[K]#11_2_DA,53,0.291,rice,Pho1[K]#11,2,-2.2996318887486,0.018212252226966704
51,54,54,p700_reference,296.0,270.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,54,0.296,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
52,55,55,p700_reference,301.0,275.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,55,0.301,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
53,56,56,p700_reference,306.0,280.0,820nm,56241,20240725_0725rice_USDA_Pho1[K]#11_2_DA,56,0.306,rice,Pho1[K]#11,2,-2.3003272100012446,-0.01342533009059325
54,57,57,p700_reference,311.0,285.0,820nm,56243,20240725_0725rice_USDA_Pho1[K]#11_2_DA,57,0.311,rice,Pho1[K]#11,2,-2.300409012501556,-0.017147398598548615
55,58,58,p700_reference,316.0,290.0,820nm,56231,20240725_0725rice_USDA_Pho1[K]#11_2_DA,58,0.316,rice,Pho1[K]#11,2,-2.2999181974996885,0.005185012449163352
56,59,59,p700_reference,321.0,295.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,59,0.321,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
57,60,60,p700_reference,326.0,300.0,820nm,56227,20240725_0725rice_USDA_Pho1[K]#11_2_DA,60,0.326,rice,Pho1[K]#11,2,-2.2997545924990663,0.012629149465053868
58,61,61,p700_reference,331.0,305.0,820nm,56227,20240725_0725rice_USDA_Pho1[K]#11_2_DA,61,0.331,rice,Pho1[K]#11,2,-2.2997545924990663,0.012629149465053868
59,62,62,p700_reference,336.0,310.0,820nm,56231,20240725_0725rice_USDA_Pho1[K]#11_2_DA,62,0.336,rice,Pho1[K]#11,2,-2.2999181974996885,0.005185012449163352
60,63,63,p700_reference,341.0,315.0,820nm,56231,20240725_0725rice_USDA_Pho1[K]#11_2_DA,63,0.341,rice,Pho1[K]#11,2,-2.2999181974996885,0.005185012449163352
61,64,64,p700_reference,346.0,320.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,64,0.346,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
62,65,65,p700_reference,351.0,325.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,65,0.351,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
63,66,66,p700_reference,356.0,330.0,820nm,56219,20240725_0725rice_USDA_Pho1[K]#11_2_DA,66,0.356,rice,Pho1[K]#11,2,-2.299427382497821,0.027517423496875318
64,67,67,p700_reference,361.0,335.0,820nm,56241,20240725_0725rice_USDA_Pho1[K]#11_2_DA,67,0.361,rice,Pho1[K]#11,2,-2.3003272100012446,-0.01342533009059325
65,68,68,p700_reference,366.0,340.0,820nm,56235,20240725_0725rice_USDA_Pho1[K]#11_2_DA,68,0.366,rice,Pho1[K]#11,2,-2.3000818025003107,-0.002259124566727166
66,69,69,p700_reference,371.0,345.0,820nm,56238,20240725_0725rice_USDA_Pho1[K]#11_2_DA,69,0.371,rice,Pho1[K]#11,2,-2.3002045062507777,-0.007842227328660209
67,70,70,p700_reference,376.0,350.0,820nm,56221,20240725_0725rice_USDA_Pho1[K]#11_2_DA,70,0.376,rice,Pho1[K]#11,2,-2.2995091849981324,0.023795354988919954
68,71,71,p700_reference,381.0,355.0,820nm,56231,20240725_0725rice_USDA_Pho1[K]#11_2_DA,71,0.381,rice,Pho1[K]#11,2,-2.2999181974996885,0.005185012449163352
69,72,72,p700_reference,386.0,360.0,820nm,56229,20240725_0725rice_USDA_Pho1[K]#11_2_DA,72,0.386,rice,Pho1[K]#11,2,-2.299836394999377,0.008907080957118714
70,73,73,p700_reference,391.0,365.0,820nm,56233,20240725_0725rice_USDA_Pho1[K]#11_2_DA,73,0.391,rice,Pho1[K]#11,2,-2.3,0.0014629439412079896
71,74,74,p700_reference,396.0,370.0,820nm,56237,20240725_0725rice_USDA_Pho1[K]#11_2_DA,74,0.396,rice,Pho1[K]#11,2,-2.300163605000622,-0.005981193074682528
72,75,75,p700_reference,401.0,375.0,820nm,56239,20240725_0725rice_USDA_Pho1[K]#11_2_DA,75,0.401,rice,Pho1[K]#11,2,-2.3002454075009338,-0.009703261582658097
73,76,76,p700_reference,406.0,380.0,820nm,56238,20240725_0725rice_USDA_Pho1[K]#11_2_DA,76,0.406,rice,Pho1[K]#11,2,-2.3002045062507777,-0.007842227328660209
74,77,77,p700_reference,411.0,385.0,820nm,56237,20240725_0725rice_USDA_Pho1[K]#11_2_DA,77,0.411,rice,Pho1[K]#11,2,-2.300163605000622,-0.005981193074682528
75,78,78,p700_reference,416.0,390.0,820nm,56234,20240725_0725rice_USDA_Pho1[K]#11_2_DA,78,0.416,rice,Pho1[K]#11,2,-2.3000409012501555,-0.0003980903127696914
76,79,79,p700_reference,421.0,395.0,820nm,56231,20240725_0725rice_USDA_Pho1[K]#11_2_DA,79,0.421,rice,Pho1[K]#11,2,-2.2999181974996885,0.005185012449163352
77,80,80,p700_reference,426.0,400.0,820nm,56243,20240725_0725rice_USDA_Pho1[K]#11_2_DA,80,0.426,rice,Pho1[K]#11,2,-2.300409012501556,-0.017147398598548615
