,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,41.0,15.0,820nm,55731,20240725_0725rice_USDA_TC65_1_DA,3,0.041,rice,TC65,1,-2.299645135594801,0.011112875415334919
1,4,4,p700_reference,46.0,20.0,820nm,55719,20240725_0725rice_USDA_TC65_1_DA,4,0.046,rice,TC65,1,-2.299149975959641,0.02541272228299051
2,5,5,p700_reference,51.0,25.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,5,0.051,rice,TC65,1,-2.299315029171361,0.020646106660442923
3,6,6,p700_reference,56.0,30.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,6,0.056,rice,TC65,1,-2.299315029171361,0.020646106660442923
4,7,7,p700_reference,61.0,35.0,820nm,55719,20240725_0725rice_USDA_TC65_1_DA,7,0.061,rice,TC65,1,-2.299149975959641,0.02541272228299051
5,8,8,p700_reference,66.0,40.0,820nm,55726,20240725_0725rice_USDA_TC65_1_DA,8,0.066,rice,TC65,1,-2.299438819080151,0.01707114494352261
6,9,9,p700_reference,71.0,45.0,820nm,55715,20240725_0725rice_USDA_TC65_1_DA,9,0.071,rice,TC65,1,-2.29898492274792,0.030179337905563753
7,10,10,p700_reference,76.0,50.0,820nm,55715,20240725_0725rice_USDA_TC65_1_DA,10,0.076,rice,TC65,1,-2.29898492274792,0.030179337905563753
8,11,11,p700_reference,81.0,55.0,820nm,55707,20240725_0725rice_USDA_TC65_1_DA,11,0.081,rice,TC65,1,-2.29865481632448,0.039712569150671756
9,12,12,p700_reference,86.0,60.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,12,0.086,rice,TC65,1,-2.299315029171361,0.020646106660442923
10,13,13,p700_reference,91.0,65.0,820nm,55707,20240725_0725rice_USDA_TC65_1_DA,13,0.091,rice,TC65,1,-2.29865481632448,0.039712569150671756
11,14,14,p700_reference,96.0,70.0,820nm,55711,20240725_0725rice_USDA_TC65_1_DA,14,0.096,rice,TC65,1,-2.2988198695362003,0.03494595352811134
12,15,15,p700_reference,101.0,75.0,820nm,55711,20240725_0725rice_USDA_TC65_1_DA,15,0.101,rice,TC65,1,-2.2988198695362003,0.03494595352811134
13,16,16,p700_reference,106.0,80.0,820nm,55719,20240725_0725rice_USDA_TC65_1_DA,16,0.106,rice,TC65,1,-2.299149975959641,0.02541272228299051
14,17,17,p700_reference,111.0,85.0,820nm,55714,20240725_0725rice_USDA_TC65_1_DA,17,0.111,rice,TC65,1,-2.2989436594449906,0.03137099181119103
15,18,18,p700_reference,116.0,90.0,820nm,55734,20240725_0725rice_USDA_TC65_1_DA,18,0.116,rice,TC65,1,-2.299768925503592,0.007537913698401782
16,19,19,p700_reference,121.0,95.0,820nm,55721,20240725_0725rice_USDA_TC65_1_DA,19,0.121,rice,TC65,1,-2.2992325025655007,0.02302941447172313
17,20,20,p700_reference,126.0,100.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,20,0.126,rice,TC65,1,-2.299315029171361,0.020646106660442923
18,21,21,p700_reference,131.0,105.0,820nm,55731,20240725_0725rice_USDA_TC65_1_DA,21,0.131,rice,TC65,1,-2.299645135594801,0.011112875415334919
19,22,22,p700_reference,136.0,110.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,22,0.136,rice,TC65,1,-2.299315029171361,0.020646106660442923
20,23,23,p700_reference,141.0,115.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,23,0.141,rice,TC65,1,-2.299315029171361,0.020646106660442923
21,24,24,p700_reference,146.0,120.0,820nm,55717,20240725_0725rice_USDA_TC65_1_DA,24,0.146,rice,TC65,1,-2.299067449353781,0.02779603009427072
22,25,25,p700_reference,151.0,125.0,820nm,55737,20240725_0725rice_USDA_TC65_1_DA,25,0.151,rice,TC65,1,-2.2998927154123816,0.003962951981494296
23,26,26,p700_reference,156.0,130.0,820nm,55744,20240725_0725rice_USDA_TC65_1_DA,26,0.156,rice,TC65,1,-2.300181558532892,-0.00437862535798643
24,27,27,p700_reference,161.0,135.0,820nm,55739,20240725_0725rice_USDA_TC65_1_DA,27,0.161,rice,TC65,1,-2.2999752420182418,0.0015796441702140885
25,28,28,p700_reference,166.0,140.0,820nm,55735,20240725_0725rice_USDA_TC65_1_DA,28,0.166,rice,TC65,1,-2.299810188806521,0.006346259792787329
26,29,29,p700_reference,171.0,145.0,820nm,55739,20240725_0725rice_USDA_TC65_1_DA,29,0.171,rice,TC65,1,-2.2999752420182418,0.0015796441702140885
27,30,30,p700_reference,176.0,150.0,820nm,55741,20240725_0725rice_USDA_TC65_1_DA,30,0.176,rice,TC65,1,-2.300057768624102,-0.0008036636410661188
28,31,31,p700_reference,181.0,155.0,820nm,55737,20240725_0725rice_USDA_TC65_1_DA,31,0.181,rice,TC65,1,-2.2998927154123816,0.003962951981494296
29,32,32,p700_reference,186.0,160.0,820nm,55729,20240725_0725rice_USDA_TC65_1_DA,32,0.186,rice,TC65,1,-2.2995626089889414,0.013496183226602301
30,33,33,p700_reference,191.0,165.0,820nm,55730,20240725_0725rice_USDA_TC65_1_DA,33,0.191,rice,TC65,1,-2.2996038722918715,0.012304529320962198
31,34,34,p700_reference,196.0,170.0,820nm,55736,20240725_0725rice_USDA_TC65_1_DA,34,0.196,rice,TC65,1,-2.2998514521094515,0.005154605887134399
32,35,35,p700_reference,201.0,175.0,820nm,55733,20240725_0725rice_USDA_TC65_1_DA,35,0.201,rice,TC65,1,-2.2997276622006613,0.008729567604054711
33,36,36,p700_reference,206.0,180.0,820nm,55715,20240725_0725rice_USDA_TC65_1_DA,36,0.206,rice,TC65,1,-2.29898492274792,0.030179337905563753
34,37,37,p700_reference,211.0,185.0,820nm,55707,20240725_0725rice_USDA_TC65_1_DA,37,0.211,rice,TC65,1,-2.29865481632448,0.039712569150671756
35,38,38,p700_reference,216.0,190.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,38,0.216,rice,TC65,1,-2.299315029171361,0.020646106660442923
36,39,39,p700_reference,221.0,195.0,820nm,55723,20240725_0725rice_USDA_TC65_1_DA,39,0.221,rice,TC65,1,-2.299315029171361,0.020646106660442923
37,40,40,p700_reference,226.0,200.0,820nm,55731,20240725_0725rice_USDA_TC65_1_DA,40,0.226,rice,TC65,1,-2.299645135594801,0.011112875415334919
38,41,41,p700_reference,231.0,205.0,820nm,55733,20240725_0725rice_USDA_TC65_1_DA,41,0.231,rice,TC65,1,-2.2997276622006613,0.008729567604054711
39,42,42,p700_reference,236.0,210.0,820nm,55736,20240725_0725rice_USDA_TC65_1_DA,42,0.236,rice,TC65,1,-2.2998514521094515,0.005154605887134399
40,43,43,p700_reference,241.0,215.0,820nm,55737,20240725_0725rice_USDA_TC65_1_DA,43,0.241,rice,TC65,1,-2.2998927154123816,0.003962951981494296
41,44,44,p700_reference,246.0,220.0,820nm,55733,20240725_0725rice_USDA_TC65_1_DA,44,0.246,rice,TC65,1,-2.2997276622006613,0.008729567604054711
42,45,45,p700_reference,251.0,225.0,820nm,55729,20240725_0725rice_USDA_TC65_1_DA,45,0.251,rice,TC65,1,-2.2995626089889414,0.013496183226602301
