,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,41.0,15.0,820nm,52665,20240725_0725rice_USDA_aPho1_1_DA,3,0.041,rice,aPho1,1,-2.29931018511488,0.029219049859306463
1,4,4,p700_reference,46.0,20.0,820nm,52661,20240725_0725rice_USDA_aPho1_1_DA,4,0.046,rice,aPho1,1,-2.2991355484351037,0.035477965788280566
2,5,5,p700_reference,51.0,25.0,820nm,52669,20240725_0725rice_USDA_aPho1_1_DA,5,0.051,rice,aPho1,1,-2.2994848217946573,0.022960133930300525
3,6,6,p700_reference,56.0,30.0,820nm,52671,20240725_0725rice_USDA_aPho1_1_DA,6,0.056,rice,aPho1,1,-2.299572140134546,0.019830675965789597
4,7,7,p700_reference,61.0,35.0,820nm,52679,20240725_0725rice_USDA_aPho1_1_DA,7,0.061,rice,aPho1,1,-2.2999214134941,0.007312844107793636
5,8,8,p700_reference,66.0,40.0,820nm,52687,20240725_0725rice_USDA_aPho1_1_DA,8,0.066,rice,aPho1,1,-2.300270686853654,-0.005204987750202325
6,9,9,p700_reference,71.0,45.0,820nm,52677,20240725_0725rice_USDA_aPho1_1_DA,9,0.071,rice,aPho1,1,-2.2998340951542118,0.010442302072288646
7,10,10,p700_reference,76.0,50.0,820nm,52674,20240725_0725rice_USDA_aPho1_1_DA,10,0.076,rice,aPho1,1,-2.2997031176443787,0.01513648901904708
8,11,11,p700_reference,81.0,55.0,820nm,52685,20240725_0725rice_USDA_aPho1_1_DA,11,0.081,rice,aPho1,1,-2.300183368513766,-0.002075529785707314
9,12,12,p700_reference,86.0,60.0,820nm,52687,20240725_0725rice_USDA_aPho1_1_DA,12,0.086,rice,aPho1,1,-2.300270686853654,-0.005204987750202325
10,13,13,p700_reference,91.0,65.0,820nm,52663,20240725_0725rice_USDA_aPho1_1_DA,13,0.091,rice,aPho1,1,-2.299222866774992,0.03234850782378556
11,14,14,p700_reference,96.0,70.0,820nm,52678,20240725_0725rice_USDA_aPho1_1_DA,14,0.096,rice,aPho1,1,-2.2998777543241555,0.008877573090057057
12,15,15,p700_reference,101.0,75.0,820nm,52679,20240725_0725rice_USDA_aPho1_1_DA,15,0.101,rice,aPho1,1,-2.2999214134941,0.007312844107793636
