,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,51493,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,3,0.042,rice,Pho1[-C]#33,2,-2.2995504474814443,0.014625249315531942
1,4,4,p700_reference,47.0,20.0,820nm,51489,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,4,0.047,rice,Pho1[-C]#33,2,-2.299371817341621,0.020407731505511378
2,5,5,p700_reference,52.0,25.0,820nm,51491,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,5,0.052,rice,Pho1[-C]#33,2,-2.2994611324115324,0.017516490410528846
3,6,6,p700_reference,57.0,30.0,820nm,51493,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,6,0.057,rice,Pho1[-C]#33,2,-2.2995504474814443,0.014625249315531942
4,7,7,p700_reference,62.0,35.0,820nm,51489,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,7,0.062,rice,Pho1[-C]#33,2,-2.299371817341621,0.020407731505511378
5,8,8,p700_reference,67.0,40.0,820nm,51489,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,8,0.067,rice,Pho1[-C]#33,2,-2.299371817341621,0.020407731505511378
6,9,9,p700_reference,72.0,45.0,820nm,51495,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,9,0.072,rice,Pho1[-C]#33,2,-2.299639762551356,0.011734008220549413
7,10,10,p700_reference,77.0,50.0,820nm,51475,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,10,0.077,rice,Pho1[-C]#33,2,-2.298746611852239,0.04064641917043221
8,11,11,p700_reference,82.0,55.0,820nm,51491,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,11,0.082,rice,Pho1[-C]#33,2,-2.2994611324115324,0.017516490410528846
9,12,12,p700_reference,87.0,60.0,820nm,51497,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,12,0.087,rice,Pho1[-C]#33,2,-2.299729077621268,0.008842767125538132
10,13,13,p700_reference,92.0,65.0,820nm,51497,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,13,0.092,rice,Pho1[-C]#33,2,-2.299729077621268,0.008842767125538132
11,14,14,p700_reference,97.0,70.0,820nm,51485,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,14,0.097,rice,Pho1[-C]#33,2,-2.299193187201797,0.02619021369550519
12,15,15,p700_reference,102.0,75.0,820nm,51491,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,15,0.102,rice,Pho1[-C]#33,2,-2.2994611324115324,0.017516490410528846
13,16,16,p700_reference,107.0,80.0,820nm,51483,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,16,0.107,rice,Pho1[-C]#33,2,-2.299103872131886,0.029081454790473343
14,17,17,p700_reference,112.0,85.0,820nm,51491,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,17,0.112,rice,Pho1[-C]#33,2,-2.2994611324115324,0.017516490410528846
15,18,18,p700_reference,117.0,90.0,820nm,51503,20240726_0726rice_USDA_Pho1[-C]#33_2_DA,18,0.117,rice,Pho1[-C]#33,2,-2.2999970228310027,0.00016904384059054345
