,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,41.0,15.0,820nm,50311,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,3,0.041,rice,Pho1[-C]#35,2,-2.2996343329557423
4,4,p700_reference,46.0,20.0,820nm,50311,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,4,0.046,rice,Pho1[-C]#35,2,-2.2996343329557423
5,5,p700_reference,51.0,25.0,820nm,50313,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,5,0.051,rice,Pho1[-C]#35,2,-2.2997257497168064
6,6,p700_reference,56.0,30.0,820nm,50315,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,6,0.056,rice,Pho1[-C]#35,2,-2.299817166477871
7,7,p700_reference,61.0,35.0,820nm,50312,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,7,0.061,rice,Pho1[-C]#35,2,-2.2996800413362743
8,8,p700_reference,66.0,40.0,820nm,50313,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,8,0.066,rice,Pho1[-C]#35,2,-2.2997257497168064
9,9,p700_reference,71.0,45.0,820nm,50315,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,9,0.071,rice,Pho1[-C]#35,2,-2.299817166477871
10,10,p700_reference,76.0,50.0,820nm,50317,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,10,0.076,rice,Pho1[-C]#35,2,-2.299908583238935
11,11,p700_reference,81.0,55.0,820nm,50327,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,11,0.081,rice,Pho1[-C]#35,2,-2.3003656670442574
12,12,p700_reference,86.0,60.0,820nm,50319,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,12,0.086,rice,Pho1[-C]#35,2,-2.3
13,13,p700_reference,91.0,65.0,820nm,50319,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,13,0.091,rice,Pho1[-C]#35,2,-2.3
14,14,p700_reference,96.0,70.0,820nm,50321,20240726_0726rice_USDA_Pho1[-C]#35_2_DA,14,0.096,rice,Pho1[-C]#35,2,-2.300091416761064
