,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,41.0,15.0,820nm,45309,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,3,0.041,rice,Pho1[-M]#36,2,-2.300531437368097,-0.011289955756177581
1,4,4,p700_reference,46.0,20.0,820nm,45298,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,4,0.046,rice,Pho1[-M]#36,2,-2.299972920388887,0.001069888864197315
2,5,5,p700_reference,51.0,25.0,820nm,45298,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,5,0.051,rice,Pho1[-M]#36,2,-2.299972920388887,0.001069888864197315
3,6,6,p700_reference,56.0,30.0,820nm,45296,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,6,0.056,rice,Pho1[-M]#36,2,-2.299871371847212,0.0033171333406300076
4,7,7,p700_reference,61.0,35.0,820nm,45303,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,7,0.061,rice,Pho1[-M]#36,2,-2.300226791743073,-0.004548222326879503
5,8,8,p700_reference,66.0,40.0,820nm,45301,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,8,0.066,rice,Pho1[-M]#36,2,-2.3001252432013986,-0.0023009778504468103
6,9,9,p700_reference,71.0,45.0,820nm,45307,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,9,0.071,rice,Pho1[-M]#36,2,-2.3004298888264225,-0.009042711279744889
7,10,10,p700_reference,76.0,50.0,820nm,45297,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,10,0.076,rice,Pho1[-M]#36,2,-2.299922146118049,0.002193511102428403
8,11,11,p700_reference,81.0,55.0,820nm,45299,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,11,0.081,rice,Pho1[-M]#36,2,-2.300023694659724,-5.373337401411752e-05
9,12,12,p700_reference,86.0,60.0,820nm,45291,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,12,0.086,rice,Pho1[-M]#36,2,-2.2996175004930253,0.008935244531716654
10,13,13,p700_reference,91.0,65.0,820nm,45291,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,13,0.091,rice,Pho1[-M]#36,2,-2.2996175004930253,0.008935244531716654
11,14,14,p700_reference,96.0,70.0,820nm,45303,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,14,0.096,rice,Pho1[-M]#36,2,-2.300226791743073,-0.004548222326879503
12,15,15,p700_reference,101.0,75.0,820nm,45309,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,15,0.101,rice,Pho1[-M]#36,2,-2.300531437368097,-0.011289955756177581
13,16,16,p700_reference,106.0,80.0,820nm,45301,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,16,0.106,rice,Pho1[-M]#36,2,-2.3001252432013986,-0.0023009778504468103
14,17,17,p700_reference,111.0,85.0,820nm,45291,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,17,0.111,rice,Pho1[-M]#36,2,-2.2996175004930253,0.008935244531716654
15,18,18,p700_reference,116.0,90.0,820nm,45303,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,18,0.116,rice,Pho1[-M]#36,2,-2.300226791743073,-0.004548222326879503
16,19,19,p700_reference,121.0,95.0,820nm,45311,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,19,0.121,rice,Pho1[-M]#36,2,-2.300632985909772,-0.013537200232610274
17,20,20,p700_reference,126.0,100.0,820nm,45299,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,20,0.126,rice,Pho1[-M]#36,2,-2.300023694659724,-5.373337401411752e-05
18,21,21,p700_reference,131.0,105.0,820nm,45290,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,21,0.131,rice,Pho1[-M]#36,2,-2.299566726222188,0.010058866769928086
19,22,22,p700_reference,136.0,110.0,820nm,45303,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,22,0.136,rice,Pho1[-M]#36,2,-2.300226791743073,-0.004548222326879503
20,23,23,p700_reference,141.0,115.0,820nm,45299,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,23,0.141,rice,Pho1[-M]#36,2,-2.300023694659724,-5.373337401411752e-05
21,24,24,p700_reference,146.0,120.0,820nm,45305,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,24,0.146,rice,Pho1[-M]#36,2,-2.3003283402847474,-0.006795466803302368
22,25,25,p700_reference,151.0,125.0,820nm,45315,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,25,0.151,rice,Pho1[-M]#36,2,-2.3008360829931207,-0.01803168918546583
23,26,26,p700_reference,156.0,130.0,820nm,45295,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,26,0.156,rice,Pho1[-M]#36,2,-2.2998205975763746,0.0044407555788512675
24,27,27,p700_reference,161.0,135.0,820nm,45306,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,27,0.161,rice,Pho1[-M]#36,2,-2.3003791145555854,-0.007919089041533456
25,28,28,p700_reference,166.0,140.0,820nm,45305,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,28,0.166,rice,Pho1[-M]#36,2,-2.3003283402847474,-0.006795466803302368
26,29,29,p700_reference,171.0,145.0,820nm,45309,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,29,0.171,rice,Pho1[-M]#36,2,-2.300531437368097,-0.011289955756177581
27,30,30,p700_reference,176.0,150.0,820nm,45303,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,30,0.176,rice,Pho1[-M]#36,2,-2.300226791743073,-0.004548222326879503
28,31,31,p700_reference,181.0,155.0,820nm,45291,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,31,0.181,rice,Pho1[-M]#36,2,-2.2996175004930253,0.008935244531716654
29,32,32,p700_reference,186.0,160.0,820nm,45301,20240726_0726rice_USDA_Pho1[-M]#36_2_DA,32,0.186,rice,Pho1[-M]#36,2,-2.3001252432013986,-0.0023009778504468103
