,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,47379,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,3,0.042,rice,Pho1[-N]#22,2,-2.300045309292204,-0.0013097124838420992
1,4,4,p700_reference,47.0,20.0,820nm,47369,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,4,0.047,rice,Pho1[-N]#22,2,-2.2995598525900167,0.010234120873400962
2,5,5,p700_reference,52.0,25.0,820nm,47383,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,5,0.052,rice,Pho1[-N]#22,2,-2.300239491973078,-0.005927245826716092
3,6,6,p700_reference,57.0,30.0,820nm,47371,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,6,0.057,rice,Pho1[-N]#22,2,-2.2996569439304544,0.007925354201948126
4,7,7,p700_reference,62.0,35.0,820nm,47373,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,7,0.062,rice,Pho1[-N]#22,2,-2.299754035270892,0.005616587530495289
5,8,8,p700_reference,67.0,40.0,820nm,47369,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,8,0.067,rice,Pho1[-N]#22,2,-2.2995598525900167,0.010234120873400962
6,9,9,p700_reference,72.0,45.0,820nm,47375,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,9,0.072,rice,Pho1[-N]#22,2,-2.299851126611329,0.0033078208590635737
7,10,10,p700_reference,77.0,50.0,820nm,47370,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,10,0.077,rice,Pho1[-N]#22,2,-2.299608398260236,0.009079737537663984
8,11,11,p700_reference,82.0,55.0,820nm,47363,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,11,0.082,rice,Pho1[-N]#22,2,-2.2992685785687046,0.01716042088773835
9,12,12,p700_reference,87.0,60.0,820nm,47363,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,12,0.087,rice,Pho1[-N]#22,2,-2.2992685785687046,0.01716042088773835
10,13,13,p700_reference,92.0,65.0,820nm,47375,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,13,0.092,rice,Pho1[-N]#22,2,-2.299851126611329,0.0033078208590635737
11,14,14,p700_reference,97.0,70.0,820nm,47377,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,14,0.097,rice,Pho1[-N]#22,2,-2.2999482179517665,0.0009990541876107371
12,15,15,p700_reference,102.0,75.0,820nm,47363,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,15,0.102,rice,Pho1[-N]#22,2,-2.2992685785687046,0.01716042088773835
13,16,16,p700_reference,107.0,80.0,820nm,47391,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,16,0.107,rice,Pho1[-N]#22,2,-2.3006278573348284,-0.015162312512516877
14,17,17,p700_reference,112.0,85.0,820nm,47379,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,17,0.112,rice,Pho1[-N]#22,2,-2.300045309292204,-0.0013097124838420992
15,18,18,p700_reference,117.0,90.0,820nm,47371,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,18,0.117,rice,Pho1[-N]#22,2,-2.2996569439304544,0.007925354201948126
16,19,19,p700_reference,122.0,95.0,820nm,47371,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,19,0.122,rice,Pho1[-N]#22,2,-2.2996569439304544,0.007925354201948126
17,20,20,p700_reference,127.0,100.0,820nm,47367,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,20,0.127,rice,Pho1[-N]#22,2,-2.2994627612495795,0.012542887544843239
18,21,21,p700_reference,132.0,105.0,820nm,47373,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,21,0.132,rice,Pho1[-N]#22,2,-2.299754035270892,0.005616587530495289
19,22,22,p700_reference,137.0,110.0,820nm,47377,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,22,0.137,rice,Pho1[-N]#22,2,-2.2999482179517665,0.0009990541876107371
20,23,23,p700_reference,142.0,115.0,820nm,47379,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,23,0.142,rice,Pho1[-N]#22,2,-2.300045309292204,-0.0013097124838420992
21,24,24,p700_reference,147.0,120.0,820nm,47375,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,24,0.147,rice,Pho1[-N]#22,2,-2.299851126611329,0.0033078208590635737
22,25,25,p700_reference,152.0,125.0,820nm,47377,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,25,0.152,rice,Pho1[-N]#22,2,-2.2999482179517665,0.0009990541876107371
23,26,26,p700_reference,157.0,130.0,820nm,47379,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,26,0.157,rice,Pho1[-N]#22,2,-2.300045309292204,-0.0013097124838420992
24,27,27,p700_reference,162.0,135.0,820nm,47383,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,27,0.162,rice,Pho1[-N]#22,2,-2.300239491973078,-0.005927245826716092
25,28,28,p700_reference,167.0,140.0,820nm,47375,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,28,0.167,rice,Pho1[-N]#22,2,-2.299851126611329,0.0033078208590635737
26,29,29,p700_reference,172.0,145.0,820nm,47373,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,29,0.172,rice,Pho1[-N]#22,2,-2.299754035270892,0.005616587530495289
27,30,30,p700_reference,177.0,150.0,820nm,47371,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,30,0.177,rice,Pho1[-N]#22,2,-2.2996569439304544,0.007925354201948126
28,31,31,p700_reference,182.0,155.0,820nm,47374,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,31,0.182,rice,Pho1[-N]#22,2,-2.2998025809411105,0.004462204194779431
29,32,32,p700_reference,187.0,160.0,820nm,47369,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,32,0.187,rice,Pho1[-N]#22,2,-2.2995598525900167,0.010234120873400962
30,33,33,p700_reference,192.0,165.0,820nm,47383,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,33,0.192,rice,Pho1[-N]#22,2,-2.300239491973078,-0.005927245826716092
31,34,34,p700_reference,197.0,170.0,820nm,47379,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,34,0.197,rice,Pho1[-N]#22,2,-2.300045309292204,-0.0013097124838420992
32,35,35,p700_reference,202.0,175.0,820nm,47371,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,35,0.202,rice,Pho1[-N]#22,2,-2.2996569439304544,0.007925354201948126
33,36,36,p700_reference,207.0,180.0,820nm,47373,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,36,0.207,rice,Pho1[-N]#22,2,-2.299754035270892,0.005616587530495289
34,37,37,p700_reference,212.0,185.0,820nm,47379,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,37,0.212,rice,Pho1[-N]#22,2,-2.300045309292204,-0.0013097124838420992
35,38,38,p700_reference,217.0,190.0,820nm,47363,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,38,0.217,rice,Pho1[-N]#22,2,-2.2992685785687046,0.01716042088773835
36,39,39,p700_reference,222.0,195.0,820nm,47376,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,39,0.222,rice,Pho1[-N]#22,2,-2.299899672281548,0.0021534375233265954
37,40,40,p700_reference,227.0,200.0,820nm,47373,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,40,0.227,rice,Pho1[-N]#22,2,-2.299754035270892,0.005616587530495289
38,41,41,p700_reference,232.0,205.0,820nm,47363,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,41,0.232,rice,Pho1[-N]#22,2,-2.2992685785687046,0.01716042088773835
39,42,42,p700_reference,237.0,210.0,820nm,47371,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,42,0.237,rice,Pho1[-N]#22,2,-2.2996569439304544,0.007925354201948126
40,43,43,p700_reference,242.0,215.0,820nm,47376,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,43,0.242,rice,Pho1[-N]#22,2,-2.299899672281548,0.0021534375233265954
41,44,44,p700_reference,247.0,220.0,820nm,47383,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,44,0.247,rice,Pho1[-N]#22,2,-2.300239491973078,-0.005927245826716092
42,45,45,p700_reference,252.0,225.0,820nm,47377,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,45,0.252,rice,Pho1[-N]#22,2,-2.2999482179517665,0.0009990541876107371
43,46,46,p700_reference,257.0,230.0,820nm,47379,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,46,0.257,rice,Pho1[-N]#22,2,-2.300045309292204,-0.0013097124838420992
44,47,47,p700_reference,262.0,235.0,820nm,47373,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,47,0.262,rice,Pho1[-N]#22,2,-2.299754035270892,0.005616587530495289
45,48,48,p700_reference,267.0,240.0,820nm,47383,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,48,0.267,rice,Pho1[-N]#22,2,-2.300239491973078,-0.005927245826716092
46,49,49,p700_reference,272.0,245.0,820nm,47375,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,49,0.272,rice,Pho1[-N]#22,2,-2.299851126611329,0.0033078208590635737
47,50,50,p700_reference,277.0,250.0,820nm,47385,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,50,0.277,rice,Pho1[-N]#22,2,-2.3003365833135163,-0.008236012498179488
48,51,51,p700_reference,282.0,255.0,820nm,47383,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,51,0.282,rice,Pho1[-N]#22,2,-2.300239491973078,-0.005927245826716092
49,52,52,p700_reference,287.0,260.0,820nm,47377,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,52,0.287,rice,Pho1[-N]#22,2,-2.2999482179517665,0.0009990541876107371
50,53,53,p700_reference,292.0,265.0,820nm,47374,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,53,0.292,rice,Pho1[-N]#22,2,-2.2998025809411105,0.004462204194779431
51,54,54,p700_reference,297.0,270.0,820nm,47378,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,54,0.297,rice,Pho1[-N]#22,2,-2.2999967636219854,-0.00015532914811568096
52,55,55,p700_reference,302.0,275.0,820nm,47374,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,55,0.302,rice,Pho1[-N]#22,2,-2.2998025809411105,0.004462204194779431
53,56,56,p700_reference,307.0,280.0,820nm,47370,20240726_0726rice_USDA_Pho1[-N]#22_2_DA,56,0.307,rice,Pho1[-N]#22,2,-2.299608398260236,0.009079737537663984
