plant_species,plant_genotype,plant_id,fvfm,250,500,1000,1700
rice,Pho1[-C]#22,1,0.87,0.66,0.62,0.51,0.36
rice,Pho1[-C]#22,2,0.85,0.64,0.6,0.46,0.34
rice,Pho1[-C]#33,1,0.9,0.69,0.65,0.51,0.38
rice,Pho1[-C]#33,2,0.82,0.6,0.57,0.43,0.31
rice,Pho1[-C]#35,1,0.83,0.66,0.59,0.48,0.34
rice,Pho1[-C]#35,2,0.85,0.6,0.53,0.44,0.32
rice,Pho1[-C]#4,1,0.85,0.61,0.54,0.43,0.32
rice,Pho1[-C]#4,2,0.81,0.68,0.61,0.51,0.34
rice,Pho1[-HT]#22,1,0.88,0.64,0.58,0.45,0.33
rice,Pho1[-HT]#22,2,0.83,0.6,0.56,0.43,0.31
rice,Pho1[-HT]#24,1,0.87,0.62,0.58,0.49,0.31
rice,Pho1[-HT]#24,2,0.83,0.62,0.57,0.46,0.3
rice,Pho1[-M]#22,1,0.82,0.64,0.61,0.5,0.34
rice,Pho1[-M]#22,2,0.79,0.64,0.58,0.43,0.32
rice,Pho1[-M]#34,1,0.86,0.66,0.61,0.45,0.35
rice,Pho1[-M]#35,1,0.84,0.63,0.59,0.43,0.3
rice,Pho1[-M]#35,2,0.81,0.56,0.5,0.41,0.3
rice,Pho1[-M]#36,1,0.81,0.65,0.56,0.45,0.32
rice,Pho1[-M]#36,2,0.84,0.6,0.54,0.42,0.3
rice,Pho1[-N]#10,1,0.85,0.66,0.59,0.45,0.34
rice,Pho1[-N]#10,2,0.85,0.6,0.55,0.4,0.29
rice,Pho1[-N]#1,1,0.82,0.65,0.59,0.47,0.33
rice,Pho1[-N]#1,2,0.83,0.67,0.58,0.48,0.38
rice,Pho1[-N]#22,1,0.83,0.64,0.59,0.49,0.32
rice,Pho1[-N]#22,2,0.84,0.57,0.49,0.4,0.26
rice,Pho1[-N]#6,1,0.82,0.63,0.57,0.44,0.31
rice,Pho1[-N]#6,2,0.81,0.71,0.6,0.48,0.38
