,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,43.0,15.0,820nm,60891,20240807_080724_USDArice_BMF136_1_DA,3,0.043,rice,BMF136,1,-2.298952921980212,0.0467124628098846
1,4,4,p700_reference,48.0,20.0,820nm,60910,20240807_080724_USDArice_BMF136_1_DA,4,0.048,rice,BMF136,1,-2.299670271104345,0.015036417385963067
2,5,5,p700_reference,53.0,25.0,820nm,60899,20240807_080724_USDArice_BMF136_1_DA,5,0.053,rice,BMF136,1,-2.299254963716689,0.033375180526132295
3,6,6,p700_reference,58.0,30.0,820nm,60889,20240807_080724_USDArice_BMF136_1_DA,6,0.058,rice,BMF136,1,-2.2988774115460924,0.050046783380842286
4,7,7,p700_reference,63.0,35.0,820nm,60905,20240807_080724_USDArice_BMF136_1_DA,7,0.063,rice,BMF136,1,-2.299481495019047,0.023372218813298453
5,8,8,p700_reference,68.0,40.0,820nm,60907,20240807_080724_USDArice_BMF136_1_DA,8,0.068,rice,BMF136,1,-2.2995570054531664,0.020037898242360377
6,9,9,p700_reference,73.0,45.0,820nm,60907,20240807_080724_USDArice_BMF136_1_DA,9,0.073,rice,BMF136,1,-2.2995570054531664,0.020037898242360377
7,10,10,p700_reference,78.0,50.0,820nm,60907,20240807_080724_USDArice_BMF136_1_DA,10,0.078,rice,BMF136,1,-2.2995570054531664,0.020037898242360377
8,11,11,p700_reference,83.0,55.0,820nm,60899,20240807_080724_USDArice_BMF136_1_DA,11,0.083,rice,BMF136,1,-2.299254963716689,0.033375180526132295
9,12,12,p700_reference,88.0,60.0,820nm,60905,20240807_080724_USDArice_BMF136_1_DA,12,0.088,rice,BMF136,1,-2.299481495019047,0.023372218813298453
10,13,13,p700_reference,93.0,65.0,820nm,60911,20240807_080724_USDArice_BMF136_1_DA,13,0.093,rice,BMF136,1,-2.299708026321405,0.013369257100484224
11,14,14,p700_reference,98.0,70.0,820nm,60918,20240807_080724_USDArice_BMF136_1_DA,14,0.098,rice,BMF136,1,-2.299972312840823,0.0016991351021715408
12,15,15,p700_reference,103.0,75.0,820nm,60919,20240807_080724_USDArice_BMF136_1_DA,15,0.103,rice,BMF136,1,-2.3000100680578823,3.19748167123073e-05
13,16,16,p700_reference,108.0,80.0,820nm,60893,20240807_080724_USDArice_BMF136_1_DA,16,0.108,rice,BMF136,1,-2.2990284324143317,0.043378142238926914
14,17,17,p700_reference,113.0,85.0,820nm,60909,20240807_080724_USDArice_BMF136_1_DA,17,0.113,rice,BMF136,1,-2.2996325158872857,0.0167035776714223
15,18,18,p700_reference,118.0,90.0,820nm,60903,20240807_080724_USDArice_BMF136_1_DA,18,0.118,rice,BMF136,1,-2.299405984584928,0.02670653938423653
16,19,19,p700_reference,123.0,95.0,820nm,60915,20240807_080724_USDArice_BMF136_1_DA,19,0.123,rice,BMF136,1,-2.299859047189644,0.00670061595858846
17,20,20,p700_reference,128.0,100.0,820nm,60895,20240807_080724_USDArice_BMF136_1_DA,20,0.128,rice,BMF136,1,-2.2991039428484505,0.04004382166800845
18,21,21,p700_reference,133.0,105.0,820nm,60907,20240807_080724_USDArice_BMF136_1_DA,21,0.133,rice,BMF136,1,-2.2995570054531664,0.020037898242360377
19,22,22,p700_reference,138.0,110.0,820nm,60911,20240807_080724_USDArice_BMF136_1_DA,22,0.138,rice,BMF136,1,-2.299708026321405,0.013369257100484224
20,23,23,p700_reference,143.0,115.0,820nm,60896,20240807_080724_USDArice_BMF136_1_DA,23,0.143,rice,BMF136,1,-2.2991416980655104,0.038376661382529605
21,24,24,p700_reference,148.0,120.0,820nm,60899,20240807_080724_USDArice_BMF136_1_DA,24,0.148,rice,BMF136,1,-2.299254963716689,0.033375180526132295
22,25,25,p700_reference,153.0,125.0,820nm,60897,20240807_080724_USDArice_BMF136_1_DA,25,0.153,rice,BMF136,1,-2.29917945328257,0.03670950109707037
23,26,26,p700_reference,158.0,130.0,820nm,60895,20240807_080724_USDArice_BMF136_1_DA,26,0.158,rice,BMF136,1,-2.2991039428484505,0.04004382166800845
24,27,27,p700_reference,163.0,135.0,820nm,60904,20240807_080724_USDArice_BMF136_1_DA,27,0.163,rice,BMF136,1,-2.299443739801988,0.025039379098757687
25,28,28,p700_reference,168.0,140.0,820nm,60915,20240807_080724_USDArice_BMF136_1_DA,28,0.168,rice,BMF136,1,-2.299859047189644,0.00670061595858846
26,29,29,p700_reference,173.0,145.0,820nm,60913,20240807_080724_USDArice_BMF136_1_DA,29,0.173,rice,BMF136,1,-2.2997835367555246,0.010034936529526537
27,30,30,p700_reference,178.0,150.0,820nm,60905,20240807_080724_USDArice_BMF136_1_DA,30,0.178,rice,BMF136,1,-2.299481495019047,0.023372218813298453
28,31,31,p700_reference,183.0,155.0,820nm,60919,20240807_080724_USDArice_BMF136_1_DA,31,0.183,rice,BMF136,1,-2.3000100680578823,3.19748167123073e-05
29,32,32,p700_reference,188.0,160.0,820nm,60907,20240807_080724_USDArice_BMF136_1_DA,32,0.188,rice,BMF136,1,-2.2995570054531664,0.020037898242360377
30,33,33,p700_reference,193.0,165.0,820nm,60907,20240807_080724_USDArice_BMF136_1_DA,33,0.193,rice,BMF136,1,-2.2995570054531664,0.020037898242360377
31,34,34,p700_reference,198.0,170.0,820nm,60917,20240807_080724_USDArice_BMF136_1_DA,34,0.198,rice,BMF136,1,-2.299934557623763,0.003366295387650384
32,35,35,p700_reference,203.0,175.0,820nm,60910,20240807_080724_USDArice_BMF136_1_DA,35,0.203,rice,BMF136,1,-2.299670271104345,0.015036417385963067
33,36,36,p700_reference,208.0,180.0,820nm,60905,20240807_080724_USDArice_BMF136_1_DA,36,0.208,rice,BMF136,1,-2.299481495019047,0.023372218813298453
34,37,37,p700_reference,213.0,185.0,820nm,60905,20240807_080724_USDArice_BMF136_1_DA,37,0.213,rice,BMF136,1,-2.299481495019047,0.023372218813298453
