,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,43.0,15.0,820nm,56547,20240807_080724_USDArice_BMF136_2_DA,3,0.043,rice,BMF136,2,-2.299373788948135
4,4,p700_reference,48.0,20.0,820nm,56551,20240807_080724_USDArice_BMF136_2_DA,4,0.048,rice,BMF136,2,-2.2995364411693986
5,5,p700_reference,53.0,25.0,820nm,56553,20240807_080724_USDArice_BMF136_2_DA,5,0.053,rice,BMF136,2,-2.29961776728003
6,6,p700_reference,58.0,30.0,820nm,56553,20240807_080724_USDArice_BMF136_2_DA,6,0.058,rice,BMF136,2,-2.29961776728003
7,7,p700_reference,63.0,35.0,820nm,56554,20240807_080724_USDArice_BMF136_2_DA,7,0.063,rice,BMF136,2,-2.299658430335346
8,8,p700_reference,68.0,40.0,820nm,56545,20240807_080724_USDArice_BMF136_2_DA,8,0.068,rice,BMF136,2,-2.2992924628375033
9,9,p700_reference,73.0,45.0,820nm,56539,20240807_080724_USDArice_BMF136_2_DA,9,0.073,rice,BMF136,2,-2.2990484845056076
10,10,p700_reference,78.0,50.0,820nm,56547,20240807_080724_USDArice_BMF136_2_DA,10,0.078,rice,BMF136,2,-2.299373788948135
11,11,p700_reference,83.0,55.0,820nm,56543,20240807_080724_USDArice_BMF136_2_DA,11,0.083,rice,BMF136,2,-2.2992111367268713
12,12,p700_reference,88.0,60.0,820nm,56554,20240807_080724_USDArice_BMF136_2_DA,12,0.088,rice,BMF136,2,-2.299658430335346
13,13,p700_reference,93.0,65.0,820nm,56547,20240807_080724_USDArice_BMF136_2_DA,13,0.093,rice,BMF136,2,-2.299373788948135
14,14,p700_reference,98.0,70.0,820nm,56543,20240807_080724_USDArice_BMF136_2_DA,14,0.098,rice,BMF136,2,-2.2992111367268713
15,15,p700_reference,103.0,75.0,820nm,56539,20240807_080724_USDArice_BMF136_2_DA,15,0.103,rice,BMF136,2,-2.2990484845056076
16,16,p700_reference,108.0,80.0,820nm,56547,20240807_080724_USDArice_BMF136_2_DA,16,0.108,rice,BMF136,2,-2.299373788948135
17,17,p700_reference,113.0,85.0,820nm,56531,20240807_080724_USDArice_BMF136_2_DA,17,0.113,rice,BMF136,2,-2.2987231800630803
18,18,p700_reference,118.0,90.0,820nm,56562,20240807_080724_USDArice_BMF136_2_DA,18,0.118,rice,BMF136,2,-2.2999837347778733
19,19,p700_reference,123.0,95.0,820nm,56562,20240807_080724_USDArice_BMF136_2_DA,19,0.123,rice,BMF136,2,-2.2999837347778733
20,20,p700_reference,128.0,100.0,820nm,56559,20240807_080724_USDArice_BMF136_2_DA,20,0.128,rice,BMF136,2,-2.2998617456119255
21,21,p700_reference,133.0,105.0,820nm,56551,20240807_080724_USDArice_BMF136_2_DA,21,0.133,rice,BMF136,2,-2.2995364411693986
22,22,p700_reference,138.0,110.0,820nm,56555,20240807_080724_USDArice_BMF136_2_DA,22,0.138,rice,BMF136,2,-2.2996990933906623
23,23,p700_reference,143.0,115.0,820nm,56551,20240807_080724_USDArice_BMF136_2_DA,23,0.143,rice,BMF136,2,-2.2995364411693986
24,24,p700_reference,148.0,120.0,820nm,56555,20240807_080724_USDArice_BMF136_2_DA,24,0.148,rice,BMF136,2,-2.2996990933906623
25,25,p700_reference,153.0,125.0,820nm,56559,20240807_080724_USDArice_BMF136_2_DA,25,0.153,rice,BMF136,2,-2.2998617456119255
26,26,p700_reference,158.0,130.0,820nm,56559,20240807_080724_USDArice_BMF136_2_DA,26,0.158,rice,BMF136,2,-2.2998617456119255
27,27,p700_reference,163.0,135.0,820nm,56545,20240807_080724_USDArice_BMF136_2_DA,27,0.163,rice,BMF136,2,-2.2992924628375033
28,28,p700_reference,168.0,140.0,820nm,56553,20240807_080724_USDArice_BMF136_2_DA,28,0.168,rice,BMF136,2,-2.29961776728003
29,29,p700_reference,173.0,145.0,820nm,56539,20240807_080724_USDArice_BMF136_2_DA,29,0.173,rice,BMF136,2,-2.2990484845056076
