,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,41.0,15.0,820nm,57809,20240807_080724_USDArice_Pho1C33_2_DA,3,0.041,rice,Pho1C33,2,-2.2996605412660287
4,4,p700_reference,46.0,20.0,820nm,57791,20240807_080724_USDArice_Pho1C33_2_DA,4,0.046,rice,Pho1C33,2,-2.2989444954990583
5,5,p700_reference,51.0,25.0,820nm,57809,20240807_080724_USDArice_Pho1C33_2_DA,5,0.051,rice,Pho1C33,2,-2.2996605412660287
6,6,p700_reference,56.0,30.0,820nm,57803,20240807_080724_USDArice_Pho1C33_2_DA,6,0.056,rice,Pho1C33,2,-2.2994218593437052
7,7,p700_reference,61.0,35.0,820nm,57805,20240807_080724_USDArice_Pho1C33_2_DA,7,0.061,rice,Pho1C33,2,-2.2995014199844794
8,8,p700_reference,66.0,40.0,820nm,57790,20240807_080724_USDArice_Pho1C33_2_DA,8,0.066,rice,Pho1C33,2,-2.298904715178671
9,9,p700_reference,71.0,45.0,820nm,57791,20240807_080724_USDArice_Pho1C33_2_DA,9,0.071,rice,Pho1C33,2,-2.2989444954990583
10,10,p700_reference,76.0,50.0,820nm,57795,20240807_080724_USDArice_Pho1C33_2_DA,10,0.076,rice,Pho1C33,2,-2.299103616780607
11,11,p700_reference,81.0,55.0,820nm,57814,20240807_080724_USDArice_Pho1C33_2_DA,11,0.081,rice,Pho1C33,2,-2.299859442867965
12,12,p700_reference,86.0,60.0,820nm,57805,20240807_080724_USDArice_Pho1C33_2_DA,12,0.086,rice,Pho1C33,2,-2.2995014199844794
13,13,p700_reference,91.0,65.0,820nm,57795,20240807_080724_USDArice_Pho1C33_2_DA,13,0.091,rice,Pho1C33,2,-2.299103616780607
14,14,p700_reference,96.0,70.0,820nm,57803,20240807_080724_USDArice_Pho1C33_2_DA,14,0.096,rice,Pho1C33,2,-2.2994218593437052
15,15,p700_reference,101.0,75.0,820nm,57795,20240807_080724_USDArice_Pho1C33_2_DA,15,0.101,rice,Pho1C33,2,-2.299103616780607
16,16,p700_reference,106.0,80.0,820nm,57801,20240807_080724_USDArice_Pho1C33_2_DA,16,0.106,rice,Pho1C33,2,-2.2993422987029306
17,17,p700_reference,111.0,85.0,820nm,57807,20240807_080724_USDArice_Pho1C33_2_DA,17,0.111,rice,Pho1C33,2,-2.2995809806252545
18,18,p700_reference,116.0,90.0,820nm,57807,20240807_080724_USDArice_Pho1C33_2_DA,18,0.116,rice,Pho1C33,2,-2.2995809806252545
19,19,p700_reference,121.0,95.0,820nm,57819,20240807_080724_USDArice_Pho1C33_2_DA,19,0.121,rice,Pho1C33,2,-2.300058344469901
20,20,p700_reference,126.0,100.0,820nm,57805,20240807_080724_USDArice_Pho1C33_2_DA,20,0.126,rice,Pho1C33,2,-2.2995014199844794
21,21,p700_reference,131.0,105.0,820nm,57795,20240807_080724_USDArice_Pho1C33_2_DA,21,0.131,rice,Pho1C33,2,-2.299103616780607
22,22,p700_reference,136.0,110.0,820nm,57803,20240807_080724_USDArice_Pho1C33_2_DA,22,0.136,rice,Pho1C33,2,-2.2994218593437052
23,23,p700_reference,141.0,115.0,820nm,57817,20240807_080724_USDArice_Pho1C33_2_DA,23,0.141,rice,Pho1C33,2,-2.2999787838291263
24,24,p700_reference,146.0,120.0,820nm,57813,20240807_080724_USDArice_Pho1C33_2_DA,24,0.146,rice,Pho1C33,2,-2.2998196625475775
25,25,p700_reference,151.0,125.0,820nm,57805,20240807_080724_USDArice_Pho1C33_2_DA,25,0.151,rice,Pho1C33,2,-2.2995014199844794
26,26,p700_reference,156.0,130.0,820nm,57810,20240807_080724_USDArice_Pho1C33_2_DA,26,0.156,rice,Pho1C33,2,-2.299700321586416
27,27,p700_reference,161.0,135.0,820nm,57807,20240807_080724_USDArice_Pho1C33_2_DA,27,0.161,rice,Pho1C33,2,-2.2995809806252545
28,28,p700_reference,166.0,140.0,820nm,57809,20240807_080724_USDArice_Pho1C33_2_DA,28,0.166,rice,Pho1C33,2,-2.2996605412660287
29,29,p700_reference,171.0,145.0,820nm,57797,20240807_080724_USDArice_Pho1C33_2_DA,29,0.171,rice,Pho1C33,2,-2.299183177421382
30,30,p700_reference,176.0,150.0,820nm,57811,20240807_080724_USDArice_Pho1C33_2_DA,30,0.176,rice,Pho1C33,2,-2.299740101906803
31,31,p700_reference,181.0,155.0,820nm,57815,20240807_080724_USDArice_Pho1C33_2_DA,31,0.181,rice,Pho1C33,2,-2.299899223188352
32,32,p700_reference,186.0,160.0,820nm,57811,20240807_080724_USDArice_Pho1C33_2_DA,32,0.186,rice,Pho1C33,2,-2.299740101906803
33,33,p700_reference,191.0,165.0,820nm,57799,20240807_080724_USDArice_Pho1C33_2_DA,33,0.191,rice,Pho1C33,2,-2.2992627380621564
34,34,p700_reference,196.0,170.0,820nm,57792,20240807_080724_USDArice_Pho1C33_2_DA,34,0.196,rice,Pho1C33,2,-2.2989842758194454
35,35,p700_reference,201.0,175.0,820nm,57807,20240807_080724_USDArice_Pho1C33_2_DA,35,0.201,rice,Pho1C33,2,-2.2995809806252545
36,36,p700_reference,206.0,180.0,820nm,57807,20240807_080724_USDArice_Pho1C33_2_DA,36,0.206,rice,Pho1C33,2,-2.2995809806252545
37,37,p700_reference,211.0,185.0,820nm,57801,20240807_080724_USDArice_Pho1C33_2_DA,37,0.211,rice,Pho1C33,2,-2.2993422987029306
38,38,p700_reference,216.0,190.0,820nm,57814,20240807_080724_USDArice_Pho1C33_2_DA,38,0.216,rice,Pho1C33,2,-2.299859442867965
39,39,p700_reference,221.0,195.0,820nm,57807,20240807_080724_USDArice_Pho1C33_2_DA,39,0.221,rice,Pho1C33,2,-2.2995809806252545
40,40,p700_reference,226.0,200.0,820nm,57803,20240807_080724_USDArice_Pho1C33_2_DA,40,0.226,rice,Pho1C33,2,-2.2994218593437052
