,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,57615,20240807_080724_USDArice_Pho1C35_2_DA,3,0.042,rice,Pho1C35,2,-2.3002076035674484,-0.008556433161688389
1,4,4,p700_reference,47.0,20.0,820nm,57603,20240807_080724_USDArice_Pho1C35_2_DA,4,0.047,rice,Pho1C35,2,-2.299728518411797,0.011915307156075453
2,5,5,p700_reference,52.0,25.0,820nm,57613,20240807_080724_USDArice_Pho1C35_2_DA,5,0.052,rice,Pho1C35,2,-2.3001277560415065,-0.005144476442064244
3,6,6,p700_reference,57.0,30.0,820nm,57613,20240807_080724_USDArice_Pho1C35_2_DA,6,0.057,rice,Pho1C35,2,-2.3001277560415065,-0.005144476442064244
4,7,7,p700_reference,62.0,35.0,820nm,57621,20240807_080724_USDArice_Pho1C35_2_DA,7,0.062,rice,Pho1C35,2,-2.3004471461452733,-0.018792303320541843
5,8,8,p700_reference,67.0,40.0,820nm,57623,20240807_080724_USDArice_Pho1C35_2_DA,8,0.067,rice,Pho1C35,2,-2.300526993671215,-0.02220426004016599
6,9,9,p700_reference,72.0,45.0,820nm,57609,20240807_080724_USDArice_Pho1C35_2_DA,9,0.072,rice,Pho1C35,2,-2.299968060989623,0.0016794369971840438
7,10,10,p700_reference,77.0,50.0,820nm,57623,20240807_080724_USDArice_Pho1C35_2_DA,10,0.077,rice,Pho1C35,2,-2.300526993671215,-0.02220426004016599
8,11,11,p700_reference,82.0,55.0,820nm,57610,20240807_080724_USDArice_Pho1C35_2_DA,11,0.082,rice,Pho1C35,2,-2.300007984752594,-2.6541362637516297e-05
9,12,12,p700_reference,87.0,60.0,820nm,57613,20240807_080724_USDArice_Pho1C35_2_DA,12,0.087,rice,Pho1C35,2,-2.3001277560415065,-0.005144476442064244
10,13,13,p700_reference,92.0,65.0,820nm,57603,20240807_080724_USDArice_Pho1C35_2_DA,13,0.092,rice,Pho1C35,2,-2.299728518411797,0.011915307156075453
11,14,14,p700_reference,97.0,70.0,820nm,57623,20240807_080724_USDArice_Pho1C35_2_DA,14,0.097,rice,Pho1C35,2,-2.300526993671215,-0.02220426004016599
12,15,15,p700_reference,102.0,75.0,820nm,57623,20240807_080724_USDArice_Pho1C35_2_DA,15,0.102,rice,Pho1C35,2,-2.300526993671215,-0.02220426004016599
13,16,16,p700_reference,107.0,80.0,820nm,57619,20240807_080724_USDArice_Pho1C35_2_DA,16,0.107,rice,Pho1C35,2,-2.3003672986193315,-0.015380346600917699
14,17,17,p700_reference,112.0,85.0,820nm,57603,20240807_080724_USDArice_Pho1C35_2_DA,17,0.112,rice,Pho1C35,2,-2.299728518411797,0.011915307156075453
15,18,18,p700_reference,117.0,90.0,820nm,57623,20240807_080724_USDArice_Pho1C35_2_DA,18,0.117,rice,Pho1C35,2,-2.300526993671215,-0.02220426004016599
