,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,42.0,15.0,820nm,52309,20240807_080724_USDArice_Pho1DL80K4_1_DA,3,0.042,rice,Pho1DL80K4,1,-2.298997932423497,0.03840224190089565
1,4,4,p700_reference,47.0,20.0,820nm,52311,20240807_080724_USDArice_Pho1DL80K4_1_DA,4,0.047,rice,Pho1DL80K4,1,-2.2990858330881028,0.035196080415392315
2,5,5,p700_reference,52.0,25.0,820nm,52315,20240807_080724_USDArice_Pho1DL80K4_1_DA,5,0.052,rice,Pho1DL80K4,1,-2.299261634417314,0.028783757444401828
3,6,6,p700_reference,57.0,30.0,820nm,52326,20240807_080724_USDArice_Pho1DL80K4_1_DA,6,0.057,rice,Pho1DL80K4,1,-2.299745088072644,0.011149869274182043
4,7,7,p700_reference,62.0,35.0,820nm,52321,20240807_080724_USDArice_Pho1DL80K4_1_DA,7,0.062,rice,Pho1DL80K4,1,-2.29952533641113,0.019165272987924198
5,8,8,p700_reference,67.0,40.0,820nm,52319,20240807_080724_USDArice_Pho1DL80K4_1_DA,8,0.067,rice,Pho1DL80K4,1,-2.299437435746525,0.022371434473411344
6,9,9,p700_reference,72.0,45.0,820nm,52329,20240807_080724_USDArice_Pho1DL80K4_1_DA,9,0.072,rice,Pho1DL80K4,1,-2.299876939069552,0.006340627045943229
7,10,10,p700_reference,77.0,50.0,820nm,52325,20240807_080724_USDArice_Pho1DL80K4_1_DA,10,0.077,rice,Pho1DL80K4,1,-2.299701137740341,0.012752950016933714
8,11,11,p700_reference,82.0,55.0,820nm,52335,20240807_080724_USDArice_Pho1DL80K4_1_DA,11,0.082,rice,Pho1DL80K4,1,-2.3001406410633685,-0.0032778574105343994
9,12,12,p700_reference,87.0,60.0,820nm,52323,20240807_080724_USDArice_Pho1DL80K4_1_DA,12,0.087,rice,Pho1DL80K4,1,-2.2996132370757354,0.015959111502437055
10,13,13,p700_reference,92.0,65.0,820nm,52328,20240807_080724_USDArice_Pho1DL80K4_1_DA,13,0.092,rice,Pho1DL80K4,1,-2.2998329887372493,0.0079437077886949
11,14,14,p700_reference,97.0,70.0,820nm,52331,20240807_080724_USDArice_Pho1DL80K4_1_DA,14,0.097,rice,Pho1DL80K4,1,-2.299964839734157,0.0031344655604722835
12,15,15,p700_reference,102.0,75.0,820nm,52326,20240807_080724_USDArice_Pho1DL80K4_1_DA,15,0.102,rice,Pho1DL80K4,1,-2.299745088072644,0.011149869274182043
13,16,16,p700_reference,107.0,80.0,820nm,52323,20240807_080724_USDArice_Pho1DL80K4_1_DA,16,0.107,rice,Pho1DL80K4,1,-2.2996132370757354,0.015959111502437055
14,17,17,p700_reference,112.0,85.0,820nm,52332,20240807_080724_USDArice_Pho1DL80K4_1_DA,17,0.112,rice,Pho1DL80K4,1,-2.3000087900664603,0.0015313848177044148
