,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,43.0,15.0,820nm,57947,20240807_080724_USDArice_Pho1K11_2_DA,3,0.043,rice,Pho1K11,2,-2.298849523940941,0.04792322262733686
1,4,4,p700_reference,48.0,20.0,820nm,57943,20240807_080724_USDArice_Pho1K11_2_DA,4,0.048,rice,Pho1K11,2,-2.298690837587967,0.054314719376548956
2,5,5,p700_reference,53.0,25.0,820nm,57959,20240807_080724_USDArice_Pho1K11_2_DA,5,0.053,rice,Pho1K11,2,-2.299325582999862,0.028748732379736342
3,6,6,p700_reference,58.0,30.0,820nm,57951,20240807_080724_USDArice_Pho1K11_2_DA,6,0.058,rice,Pho1K11,2,-2.2990082102939144,0.04153172587814265
4,7,7,p700_reference,63.0,35.0,820nm,57956,20240807_080724_USDArice_Pho1K11_2_DA,7,0.063,rice,Pho1K11,2,-2.299206568235132,0.033542354941614116
5,8,8,p700_reference,68.0,40.0,820nm,57950,20240807_080724_USDArice_Pho1K11_2_DA,8,0.068,rice,Pho1K11,2,-2.298968538705671,0.043129600065441205
6,9,9,p700_reference,73.0,45.0,820nm,57958,20240807_080724_USDArice_Pho1K11_2_DA,9,0.073,rice,Pho1K11,2,-2.2992859114116184,0.030346606567034896
7,10,10,p700_reference,78.0,50.0,820nm,57965,20240807_080724_USDArice_Pho1K11_2_DA,10,0.078,rice,Pho1K11,2,-2.299563612529322,0.019161487255945027
8,11,11,p700_reference,83.0,55.0,820nm,57969,20240807_080724_USDArice_Pho1K11_2_DA,11,0.083,rice,Pho1K11,2,-2.299722298882296,0.01276999050673293
9,12,12,p700_reference,88.0,60.0,820nm,57955,20240807_080724_USDArice_Pho1K11_2_DA,12,0.088,rice,Pho1K11,2,-2.2991668966468883,0.035140229128930556
10,13,13,p700_reference,93.0,65.0,820nm,57963,20240807_080724_USDArice_Pho1K11_2_DA,13,0.093,rice,Pho1K11,2,-2.2994842693528352,0.022357235630542132
11,14,14,p700_reference,98.0,70.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,14,0.098,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
12,15,15,p700_reference,103.0,75.0,820nm,57971,20240807_080724_USDArice_Pho1K11_2_DA,15,0.103,rice,Pho1K11,2,-2.2998016420587826,0.009574242132135825
13,16,16,p700_reference,108.0,80.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,16,0.108,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
14,17,17,p700_reference,113.0,85.0,820nm,57969,20240807_080724_USDArice_Pho1K11_2_DA,17,0.113,rice,Pho1K11,2,-2.299722298882296,0.01276999050673293
15,18,18,p700_reference,118.0,90.0,820nm,57966,20240807_080724_USDArice_Pho1K11_2_DA,18,0.118,rice,Pho1K11,2,-2.2996032841175658,0.017563613068628588
16,19,19,p700_reference,123.0,95.0,820nm,57977,20240807_080724_USDArice_Pho1K11_2_DA,19,0.123,rice,Pho1K11,2,-2.300039671588243,-1.3002991673377921e-05
17,20,20,p700_reference,128.0,100.0,820nm,57974,20240807_080724_USDArice_Pho1K11_2_DA,20,0.128,rice,Pho1K11,2,-2.299920656823513,0.00478061957022228
18,21,21,p700_reference,133.0,105.0,820nm,57973,20240807_080724_USDArice_Pho1K11_2_DA,21,0.133,rice,Pho1K11,2,-2.2998809852352693,0.006378493757538719
19,22,22,p700_reference,138.0,110.0,820nm,57979,20240807_080724_USDArice_Pho1K11_2_DA,22,0.138,rice,Pho1K11,2,-2.30011901476473,-0.0032087513662704833
20,23,23,p700_reference,143.0,115.0,820nm,57950,20240807_080724_USDArice_Pho1K11_2_DA,23,0.143,rice,Pho1K11,2,-2.298968538705671,0.043129600065441205
21,24,24,p700_reference,148.0,120.0,820nm,57959,20240807_080724_USDArice_Pho1K11_2_DA,24,0.148,rice,Pho1K11,2,-2.299325582999862,0.028748732379736342
22,25,25,p700_reference,153.0,125.0,820nm,57969,20240807_080724_USDArice_Pho1K11_2_DA,25,0.153,rice,Pho1K11,2,-2.299722298882296,0.01276999050673293
23,26,26,p700_reference,158.0,130.0,820nm,57968,20240807_080724_USDArice_Pho1K11_2_DA,26,0.158,rice,Pho1K11,2,-2.2996826272940525,0.014367864694031483
24,27,27,p700_reference,163.0,135.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,27,0.163,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
25,28,28,p700_reference,168.0,140.0,820nm,57973,20240807_080724_USDArice_Pho1K11_2_DA,28,0.168,rice,Pho1K11,2,-2.2998809852352693,0.006378493757538719
26,29,29,p700_reference,173.0,145.0,820nm,57977,20240807_080724_USDArice_Pho1K11_2_DA,29,0.173,rice,Pho1K11,2,-2.300039671588243,-1.3002991673377921e-05
27,30,30,p700_reference,178.0,150.0,820nm,57971,20240807_080724_USDArice_Pho1K11_2_DA,30,0.178,rice,Pho1K11,2,-2.2998016420587826,0.009574242132135825
28,31,31,p700_reference,183.0,155.0,820nm,57958,20240807_080724_USDArice_Pho1K11_2_DA,31,0.183,rice,Pho1K11,2,-2.2992859114116184,0.030346606567034896
29,32,32,p700_reference,188.0,160.0,820nm,57970,20240807_080724_USDArice_Pho1K11_2_DA,32,0.188,rice,Pho1K11,2,-2.299761970470539,0.011172116319434378
30,33,33,p700_reference,193.0,165.0,820nm,57970,20240807_080724_USDArice_Pho1K11_2_DA,33,0.193,rice,Pho1K11,2,-2.299761970470539,0.011172116319434378
31,34,34,p700_reference,198.0,170.0,820nm,57966,20240807_080724_USDArice_Pho1K11_2_DA,34,0.198,rice,Pho1K11,2,-2.2996032841175658,0.017563613068628588
32,35,35,p700_reference,203.0,175.0,820nm,57957,20240807_080724_USDArice_Pho1K11_2_DA,35,0.203,rice,Pho1K11,2,-2.299246239823375,0.03194448075433345
33,36,36,p700_reference,208.0,180.0,820nm,57954,20240807_080724_USDArice_Pho1K11_2_DA,36,0.208,rice,Pho1K11,2,-2.299127225058645,0.036738103316229107
34,37,37,p700_reference,213.0,185.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,37,0.213,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
35,38,38,p700_reference,218.0,190.0,820nm,57963,20240807_080724_USDArice_Pho1K11_2_DA,38,0.218,rice,Pho1K11,2,-2.2994842693528352,0.022357235630542132
36,39,39,p700_reference,223.0,195.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,39,0.223,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
37,40,40,p700_reference,228.0,200.0,820nm,57963,20240807_080724_USDArice_Pho1K11_2_DA,40,0.228,rice,Pho1K11,2,-2.2994842693528352,0.022357235630542132
38,41,41,p700_reference,233.0,205.0,820nm,57955,20240807_080724_USDArice_Pho1K11_2_DA,41,0.233,rice,Pho1K11,2,-2.2991668966468883,0.035140229128930556
39,42,42,p700_reference,238.0,210.0,820nm,57949,20240807_080724_USDArice_Pho1K11_2_DA,42,0.238,rice,Pho1K11,2,-2.298928867117428,0.04472747425272187
40,43,43,p700_reference,243.0,215.0,820nm,57955,20240807_080724_USDArice_Pho1K11_2_DA,43,0.243,rice,Pho1K11,2,-2.2991668966468883,0.035140229128930556
41,44,44,p700_reference,248.0,220.0,820nm,57959,20240807_080724_USDArice_Pho1K11_2_DA,44,0.248,rice,Pho1K11,2,-2.299325582999862,0.028748732379736342
42,45,45,p700_reference,253.0,225.0,820nm,57957,20240807_080724_USDArice_Pho1K11_2_DA,45,0.253,rice,Pho1K11,2,-2.299246239823375,0.03194448075433345
43,46,46,p700_reference,258.0,230.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,46,0.258,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
44,47,47,p700_reference,263.0,235.0,820nm,57957,20240807_080724_USDArice_Pho1K11_2_DA,47,0.263,rice,Pho1K11,2,-2.299246239823375,0.03194448075433345
45,48,48,p700_reference,268.0,240.0,820nm,57969,20240807_080724_USDArice_Pho1K11_2_DA,48,0.268,rice,Pho1K11,2,-2.299722298882296,0.01276999050673293
46,49,49,p700_reference,273.0,245.0,820nm,57973,20240807_080724_USDArice_Pho1K11_2_DA,49,0.273,rice,Pho1K11,2,-2.2998809852352693,0.006378493757538719
47,50,50,p700_reference,278.0,250.0,820nm,57965,20240807_080724_USDArice_Pho1K11_2_DA,50,0.278,rice,Pho1K11,2,-2.299563612529322,0.019161487255945027
48,51,51,p700_reference,283.0,255.0,820nm,57970,20240807_080724_USDArice_Pho1K11_2_DA,51,0.283,rice,Pho1K11,2,-2.299761970470539,0.011172116319434378
49,52,52,p700_reference,288.0,260.0,820nm,57971,20240807_080724_USDArice_Pho1K11_2_DA,52,0.288,rice,Pho1K11,2,-2.2998016420587826,0.009574242132135825
50,53,53,p700_reference,293.0,265.0,820nm,57970,20240807_080724_USDArice_Pho1K11_2_DA,53,0.293,rice,Pho1K11,2,-2.299761970470539,0.011172116319434378
51,54,54,p700_reference,298.0,270.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,54,0.298,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
52,55,55,p700_reference,303.0,275.0,820nm,57969,20240807_080724_USDArice_Pho1K11_2_DA,55,0.303,rice,Pho1K11,2,-2.299722298882296,0.01276999050673293
53,56,56,p700_reference,308.0,280.0,820nm,57970,20240807_080724_USDArice_Pho1K11_2_DA,56,0.308,rice,Pho1K11,2,-2.299761970470539,0.011172116319434378
54,57,57,p700_reference,313.0,285.0,820nm,57963,20240807_080724_USDArice_Pho1K11_2_DA,57,0.313,rice,Pho1K11,2,-2.2994842693528352,0.022357235630542132
55,58,58,p700_reference,318.0,290.0,820nm,57971,20240807_080724_USDArice_Pho1K11_2_DA,58,0.318,rice,Pho1K11,2,-2.2998016420587826,0.009574242132135825
56,59,59,p700_reference,323.0,295.0,820nm,57961,20240807_080724_USDArice_Pho1K11_2_DA,59,0.323,rice,Pho1K11,2,-2.2994049261763485,0.025552984005139237
57,60,60,p700_reference,328.0,300.0,820nm,57959,20240807_080724_USDArice_Pho1K11_2_DA,60,0.328,rice,Pho1K11,2,-2.299325582999862,0.028748732379736342
58,61,61,p700_reference,333.0,305.0,820nm,57971,20240807_080724_USDArice_Pho1K11_2_DA,61,0.333,rice,Pho1K11,2,-2.2998016420587826,0.009574242132135825
59,62,62,p700_reference,338.0,310.0,820nm,57963,20240807_080724_USDArice_Pho1K11_2_DA,62,0.338,rice,Pho1K11,2,-2.2994842693528352,0.022357235630542132
60,63,63,p700_reference,343.0,315.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,63,0.343,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
61,64,64,p700_reference,348.0,320.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,64,0.348,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
62,65,65,p700_reference,353.0,325.0,820nm,57965,20240807_080724_USDArice_Pho1K11_2_DA,65,0.353,rice,Pho1K11,2,-2.299563612529322,0.019161487255945027
63,66,66,p700_reference,358.0,330.0,820nm,57974,20240807_080724_USDArice_Pho1K11_2_DA,66,0.358,rice,Pho1K11,2,-2.299920656823513,0.00478061957022228
64,67,67,p700_reference,363.0,335.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,67,0.363,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
65,68,68,p700_reference,368.0,340.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,68,0.368,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
66,69,69,p700_reference,373.0,345.0,820nm,57962,20240807_080724_USDArice_Pho1K11_2_DA,69,0.373,rice,Pho1K11,2,-2.2994445977645923,0.023955109817822798
67,70,70,p700_reference,378.0,350.0,820nm,57970,20240807_080724_USDArice_Pho1K11_2_DA,70,0.378,rice,Pho1K11,2,-2.299761970470539,0.011172116319434378
68,71,71,p700_reference,383.0,355.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,71,0.383,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
69,72,72,p700_reference,388.0,360.0,820nm,57979,20240807_080724_USDArice_Pho1K11_2_DA,72,0.388,rice,Pho1K11,2,-2.30011901476473,-0.0032087513662704833
70,73,73,p700_reference,393.0,365.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,73,0.393,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
71,74,74,p700_reference,398.0,370.0,820nm,57989,20240807_080724_USDArice_Pho1K11_2_DA,74,0.398,rice,Pho1K11,2,-2.300515730647164,-0.019187493239273896
72,75,75,p700_reference,403.0,375.0,820nm,57978,20240807_080724_USDArice_Pho1K11_2_DA,75,0.403,rice,Pho1K11,2,-2.3000793431764865,-0.0016108771789719305
73,76,76,p700_reference,408.0,380.0,820nm,57974,20240807_080724_USDArice_Pho1K11_2_DA,76,0.408,rice,Pho1K11,2,-2.299920656823513,0.00478061957022228
74,77,77,p700_reference,413.0,385.0,820nm,57961,20240807_080724_USDArice_Pho1K11_2_DA,77,0.413,rice,Pho1K11,2,-2.2994049261763485,0.025552984005139237
75,78,78,p700_reference,418.0,390.0,820nm,57963,20240807_080724_USDArice_Pho1K11_2_DA,78,0.418,rice,Pho1K11,2,-2.2994842693528352,0.022357235630542132
76,79,79,p700_reference,423.0,395.0,820nm,57974,20240807_080724_USDArice_Pho1K11_2_DA,79,0.423,rice,Pho1K11,2,-2.299920656823513,0.00478061957022228
77,80,80,p700_reference,428.0,400.0,820nm,57975,20240807_080724_USDArice_Pho1K11_2_DA,80,0.428,rice,Pho1K11,2,-2.2999603284117565,0.0031827453829237273
78,81,81,p700_reference,433.0,405.0,820nm,57971,20240807_080724_USDArice_Pho1K11_2_DA,81,0.433,rice,Pho1K11,2,-2.2998016420587826,0.009574242132135825
79,82,82,p700_reference,438.0,410.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,82,0.438,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
80,83,83,p700_reference,443.0,415.0,820nm,57971,20240807_080724_USDArice_Pho1K11_2_DA,83,0.443,rice,Pho1K11,2,-2.2998016420587826,0.009574242132135825
81,84,84,p700_reference,448.0,420.0,820nm,57967,20240807_080724_USDArice_Pho1K11_2_DA,84,0.448,rice,Pho1K11,2,-2.299642955705809,0.015965738881330033
82,85,85,p700_reference,453.0,425.0,820nm,57959,20240807_080724_USDArice_Pho1K11_2_DA,85,0.453,rice,Pho1K11,2,-2.299325582999862,0.028748732379736342
83,86,86,p700_reference,458.0,430.0,820nm,57960,20240807_080724_USDArice_Pho1K11_2_DA,86,0.458,rice,Pho1K11,2,-2.299365254588105,0.027150858192437788
84,87,87,p700_reference,463.0,435.0,820nm,57968,20240807_080724_USDArice_Pho1K11_2_DA,87,0.463,rice,Pho1K11,2,-2.2996826272940525,0.014367864694031483
