,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,43.0,15.0,820nm,52365,20240807_080724_USDArice_Pho1K15_1_DA,3,0.043,rice,Pho1K15,1,-2.298566093910034
4,4,p700_reference,48.0,20.0,820nm,52375,20240807_080724_USDArice_Pho1K15_1_DA,4,0.048,rice,Pho1K15,1,-2.299005044753901
5,5,p700_reference,53.0,25.0,820nm,52381,20240807_080724_USDArice_Pho1K15_1_DA,5,0.053,rice,Pho1K15,1,-2.2992684152602214
6,6,p700_reference,58.0,30.0,820nm,52363,20240807_080724_USDArice_Pho1K15_1_DA,6,0.058,rice,Pho1K15,1,-2.298478303741261
7,7,p700_reference,63.0,35.0,820nm,52379,20240807_080724_USDArice_Pho1K15_1_DA,7,0.063,rice,Pho1K15,1,-2.299180625091448
8,8,p700_reference,68.0,40.0,820nm,52369,20240807_080724_USDArice_Pho1K15_1_DA,8,0.068,rice,Pho1K15,1,-2.298741674247581
9,9,p700_reference,73.0,45.0,820nm,52375,20240807_080724_USDArice_Pho1K15_1_DA,9,0.073,rice,Pho1K15,1,-2.299005044753901
10,10,p700_reference,78.0,50.0,820nm,52366,20240807_080724_USDArice_Pho1K15_1_DA,10,0.078,rice,Pho1K15,1,-2.2986099889944205
11,11,p700_reference,83.0,55.0,820nm,52374,20240807_080724_USDArice_Pho1K15_1_DA,11,0.083,rice,Pho1K15,1,-2.2989611496695144
12,12,p700_reference,88.0,60.0,820nm,52375,20240807_080724_USDArice_Pho1K15_1_DA,12,0.088,rice,Pho1K15,1,-2.299005044753901
13,13,p700_reference,93.0,65.0,820nm,52363,20240807_080724_USDArice_Pho1K15_1_DA,13,0.093,rice,Pho1K15,1,-2.298478303741261
14,14,p700_reference,98.0,70.0,820nm,52377,20240807_080724_USDArice_Pho1K15_1_DA,14,0.098,rice,Pho1K15,1,-2.2990928349226745
15,15,p700_reference,103.0,75.0,820nm,52379,20240807_080724_USDArice_Pho1K15_1_DA,15,0.103,rice,Pho1K15,1,-2.299180625091448
16,16,p700_reference,108.0,80.0,820nm,52377,20240807_080724_USDArice_Pho1K15_1_DA,16,0.108,rice,Pho1K15,1,-2.2990928349226745
17,17,p700_reference,113.0,85.0,820nm,52384,20240807_080724_USDArice_Pho1K15_1_DA,17,0.113,rice,Pho1K15,1,-2.2994001005133815
18,18,p700_reference,118.0,90.0,820nm,52371,20240807_080724_USDArice_Pho1K15_1_DA,18,0.118,rice,Pho1K15,1,-2.2988294644163543
19,19,p700_reference,123.0,95.0,820nm,52366,20240807_080724_USDArice_Pho1K15_1_DA,19,0.123,rice,Pho1K15,1,-2.2986099889944205
20,20,p700_reference,128.0,100.0,820nm,52379,20240807_080724_USDArice_Pho1K15_1_DA,20,0.128,rice,Pho1K15,1,-2.299180625091448
21,21,p700_reference,133.0,105.0,820nm,52375,20240807_080724_USDArice_Pho1K15_1_DA,21,0.133,rice,Pho1K15,1,-2.299005044753901
