,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,42.0,15.0,820nm,64387,20240807_080724_USDArice_Pho1M34_3_DA,3,0.042,rice,Pho1M34,3,-2.299216775312741
4,4,p700_reference,47.0,20.0,820nm,64393,20240807_080724_USDArice_Pho1M34_3_DA,4,0.047,rice,Pho1M34,3,-2.299431031306216
5,5,p700_reference,52.0,25.0,820nm,64401,20240807_080724_USDArice_Pho1M34_3_DA,5,0.052,rice,Pho1M34,3,-2.2997167059641828
6,6,p700_reference,57.0,30.0,820nm,64395,20240807_080724_USDArice_Pho1M34_3_DA,6,0.057,rice,Pho1M34,3,-2.2995024499707077
7,7,p700_reference,62.0,35.0,820nm,64403,20240807_080724_USDArice_Pho1M34_3_DA,7,0.062,rice,Pho1M34,3,-2.2997881246286744
8,8,p700_reference,67.0,40.0,820nm,64413,20240807_080724_USDArice_Pho1M34_3_DA,8,0.067,rice,Pho1M34,3,-2.300145217951133
9,9,p700_reference,72.0,45.0,820nm,64387,20240807_080724_USDArice_Pho1M34_3_DA,9,0.072,rice,Pho1M34,3,-2.299216775312741
10,10,p700_reference,77.0,50.0,820nm,64399,20240807_080724_USDArice_Pho1M34_3_DA,10,0.077,rice,Pho1M34,3,-2.299645287299691
11,11,p700_reference,82.0,55.0,820nm,64399,20240807_080724_USDArice_Pho1M34_3_DA,11,0.082,rice,Pho1M34,3,-2.299645287299691
12,12,p700_reference,87.0,60.0,820nm,64403,20240807_080724_USDArice_Pho1M34_3_DA,12,0.087,rice,Pho1M34,3,-2.2997881246286744
13,13,p700_reference,92.0,65.0,820nm,64408,20240807_080724_USDArice_Pho1M34_3_DA,13,0.092,rice,Pho1M34,3,-2.2999666712899036
14,14,p700_reference,97.0,70.0,820nm,64397,20240807_080724_USDArice_Pho1M34_3_DA,14,0.097,rice,Pho1M34,3,-2.2995738686351994
15,15,p700_reference,102.0,75.0,820nm,64394,20240807_080724_USDArice_Pho1M34_3_DA,15,0.102,rice,Pho1M34,3,-2.299466740638462
16,16,p700_reference,107.0,80.0,820nm,64399,20240807_080724_USDArice_Pho1M34_3_DA,16,0.107,rice,Pho1M34,3,-2.299645287299691
17,17,p700_reference,112.0,85.0,820nm,64387,20240807_080724_USDArice_Pho1M34_3_DA,17,0.112,rice,Pho1M34,3,-2.299216775312741
18,18,p700_reference,117.0,90.0,820nm,64393,20240807_080724_USDArice_Pho1M34_3_DA,18,0.117,rice,Pho1M34,3,-2.299431031306216
19,19,p700_reference,122.0,95.0,820nm,64383,20240807_080724_USDArice_Pho1M34_3_DA,19,0.122,rice,Pho1M34,3,-2.2990739379837577
20,20,p700_reference,127.0,100.0,820nm,64394,20240807_080724_USDArice_Pho1M34_3_DA,20,0.127,rice,Pho1M34,3,-2.299466740638462
21,21,p700_reference,132.0,105.0,820nm,64393,20240807_080724_USDArice_Pho1M34_3_DA,21,0.132,rice,Pho1M34,3,-2.299431031306216
22,22,p700_reference,137.0,110.0,820nm,64411,20240807_080724_USDArice_Pho1M34_3_DA,22,0.137,rice,Pho1M34,3,-2.300073799286641
23,23,p700_reference,142.0,115.0,820nm,64403,20240807_080724_USDArice_Pho1M34_3_DA,23,0.142,rice,Pho1M34,3,-2.2997881246286744
24,24,p700_reference,147.0,120.0,820nm,64405,20240807_080724_USDArice_Pho1M34_3_DA,24,0.147,rice,Pho1M34,3,-2.299859543293166
25,25,p700_reference,152.0,125.0,820nm,64399,20240807_080724_USDArice_Pho1M34_3_DA,25,0.152,rice,Pho1M34,3,-2.299645287299691
26,26,p700_reference,157.0,130.0,820nm,64398,20240807_080724_USDArice_Pho1M34_3_DA,26,0.157,rice,Pho1M34,3,-2.2996095779674453
27,27,p700_reference,162.0,135.0,820nm,64394,20240807_080724_USDArice_Pho1M34_3_DA,27,0.162,rice,Pho1M34,3,-2.299466740638462
28,28,p700_reference,167.0,140.0,820nm,64399,20240807_080724_USDArice_Pho1M34_3_DA,28,0.167,rice,Pho1M34,3,-2.299645287299691
29,29,p700_reference,172.0,145.0,820nm,64393,20240807_080724_USDArice_Pho1M34_3_DA,29,0.172,rice,Pho1M34,3,-2.299431031306216
30,30,p700_reference,177.0,150.0,820nm,64403,20240807_080724_USDArice_Pho1M34_3_DA,30,0.177,rice,Pho1M34,3,-2.2997881246286744
31,31,p700_reference,182.0,155.0,820nm,64417,20240807_080724_USDArice_Pho1M34_3_DA,31,0.182,rice,Pho1M34,3,-2.3002880552801157
32,32,p700_reference,187.0,160.0,820nm,64411,20240807_080724_USDArice_Pho1M34_3_DA,32,0.187,rice,Pho1M34,3,-2.300073799286641
33,33,p700_reference,192.0,165.0,820nm,64423,20240807_080724_USDArice_Pho1M34_3_DA,33,0.192,rice,Pho1M34,3,-2.300502311273591
34,34,p700_reference,197.0,170.0,820nm,64409,20240807_080724_USDArice_Pho1M34_3_DA,34,0.197,rice,Pho1M34,3,-2.3000023806221495
35,35,p700_reference,202.0,175.0,820nm,64417,20240807_080724_USDArice_Pho1M34_3_DA,35,0.202,rice,Pho1M34,3,-2.3002880552801157
36,36,p700_reference,207.0,180.0,820nm,64407,20240807_080724_USDArice_Pho1M34_3_DA,36,0.207,rice,Pho1M34,3,-2.299930961957658
37,37,p700_reference,212.0,185.0,820nm,64407,20240807_080724_USDArice_Pho1M34_3_DA,37,0.212,rice,Pho1M34,3,-2.299930961957658
38,38,p700_reference,217.0,190.0,820nm,64415,20240807_080724_USDArice_Pho1M34_3_DA,38,0.217,rice,Pho1M34,3,-2.3002166366156245
39,39,p700_reference,222.0,195.0,820nm,64406,20240807_080724_USDArice_Pho1M34_3_DA,39,0.222,rice,Pho1M34,3,-2.299895252625412
40,40,p700_reference,227.0,200.0,820nm,64407,20240807_080724_USDArice_Pho1M34_3_DA,40,0.227,rice,Pho1M34,3,-2.299930961957658
41,41,p700_reference,232.0,205.0,820nm,64407,20240807_080724_USDArice_Pho1M34_3_DA,41,0.232,rice,Pho1M34,3,-2.299930961957658
42,42,p700_reference,237.0,210.0,820nm,64411,20240807_080724_USDArice_Pho1M34_3_DA,42,0.237,rice,Pho1M34,3,-2.300073799286641
43,43,p700_reference,242.0,215.0,820nm,64399,20240807_080724_USDArice_Pho1M34_3_DA,43,0.242,rice,Pho1M34,3,-2.299645287299691
44,44,p700_reference,247.0,220.0,820nm,64399,20240807_080724_USDArice_Pho1M34_3_DA,44,0.247,rice,Pho1M34,3,-2.299645287299691
45,45,p700_reference,252.0,225.0,820nm,64395,20240807_080724_USDArice_Pho1M34_3_DA,45,0.252,rice,Pho1M34,3,-2.2995024499707077
46,46,p700_reference,257.0,230.0,820nm,64411,20240807_080724_USDArice_Pho1M34_3_DA,46,0.257,rice,Pho1M34,3,-2.300073799286641
47,47,p700_reference,262.0,235.0,820nm,64411,20240807_080724_USDArice_Pho1M34_3_DA,47,0.262,rice,Pho1M34,3,-2.300073799286641
48,48,p700_reference,267.0,240.0,820nm,64431,20240807_080724_USDArice_Pho1M34_3_DA,48,0.267,rice,Pho1M34,3,-2.300787985931558
49,49,p700_reference,272.0,245.0,820nm,64411,20240807_080724_USDArice_Pho1M34_3_DA,49,0.272,rice,Pho1M34,3,-2.300073799286641
50,50,p700_reference,277.0,250.0,820nm,64413,20240807_080724_USDArice_Pho1M34_3_DA,50,0.277,rice,Pho1M34,3,-2.300145217951133
51,51,p700_reference,282.0,255.0,820nm,64400,20240807_080724_USDArice_Pho1M34_3_DA,51,0.282,rice,Pho1M34,3,-2.299680996631937
52,52,p700_reference,287.0,260.0,820nm,64417,20240807_080724_USDArice_Pho1M34_3_DA,52,0.287,rice,Pho1M34,3,-2.3002880552801157
53,53,p700_reference,292.0,265.0,820nm,64394,20240807_080724_USDArice_Pho1M34_3_DA,53,0.292,rice,Pho1M34,3,-2.299466740638462
54,54,p700_reference,297.0,270.0,820nm,64414,20240807_080724_USDArice_Pho1M34_3_DA,54,0.297,rice,Pho1M34,3,-2.300180927283379
55,55,p700_reference,302.0,275.0,820nm,64407,20240807_080724_USDArice_Pho1M34_3_DA,55,0.302,rice,Pho1M34,3,-2.299930961957658
