,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,43.0,15.0,820nm,53426,20240807_080724_USDArice_Pho1N22_2_DA,3,0.043,rice,Pho1N22,2,-2.2989185137327928
4,4,p700_reference,48.0,20.0,820nm,53413,20240807_080724_USDArice_Pho1N22_2_DA,4,0.048,rice,Pho1N22,2,-2.298359124284237
5,5,p700_reference,53.0,25.0,820nm,53421,20240807_080724_USDArice_Pho1N22_2_DA,5,0.053,rice,Pho1N22,2,-2.2987033639448864
6,6,p700_reference,58.0,30.0,820nm,53417,20240807_080724_USDArice_Pho1N22_2_DA,6,0.058,rice,Pho1N22,2,-2.2985312441145616
7,7,p700_reference,63.0,35.0,820nm,53425,20240807_080724_USDArice_Pho1N22_2_DA,7,0.063,rice,Pho1N22,2,-2.2988754837752117
8,8,p700_reference,68.0,40.0,820nm,53435,20240807_080724_USDArice_Pho1N22_2_DA,8,0.068,rice,Pho1N22,2,-2.2993057833510235
9,9,p700_reference,73.0,45.0,820nm,53419,20240807_080724_USDArice_Pho1N22_2_DA,9,0.073,rice,Pho1N22,2,-2.298617304029724
10,10,p700_reference,78.0,50.0,820nm,53415,20240807_080724_USDArice_Pho1N22_2_DA,10,0.078,rice,Pho1N22,2,-2.2984451841993994
11,11,p700_reference,83.0,55.0,820nm,53431,20240807_080724_USDArice_Pho1N22_2_DA,11,0.083,rice,Pho1N22,2,-2.2991336635206987
12,12,p700_reference,88.0,60.0,820nm,53429,20240807_080724_USDArice_Pho1N22_2_DA,12,0.088,rice,Pho1N22,2,-2.299047603605536
13,13,p700_reference,93.0,65.0,820nm,53437,20240807_080724_USDArice_Pho1N22_2_DA,13,0.093,rice,Pho1N22,2,-2.2993918432661857
14,14,p700_reference,98.0,70.0,820nm,53431,20240807_080724_USDArice_Pho1N22_2_DA,14,0.098,rice,Pho1N22,2,-2.2991336635206987
15,15,p700_reference,103.0,75.0,820nm,53430,20240807_080724_USDArice_Pho1N22_2_DA,15,0.103,rice,Pho1N22,2,-2.2990906335631176
16,16,p700_reference,108.0,80.0,820nm,53431,20240807_080724_USDArice_Pho1N22_2_DA,16,0.108,rice,Pho1N22,2,-2.2991336635206987
17,17,p700_reference,113.0,85.0,820nm,53419,20240807_080724_USDArice_Pho1N22_2_DA,17,0.113,rice,Pho1N22,2,-2.298617304029724
18,18,p700_reference,118.0,90.0,820nm,53423,20240807_080724_USDArice_Pho1N22_2_DA,18,0.118,rice,Pho1N22,2,-2.298789423860049
19,19,p700_reference,123.0,95.0,820nm,53433,20240807_080724_USDArice_Pho1N22_2_DA,19,0.123,rice,Pho1N22,2,-2.299219723435861
