,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,43.0,15.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,3,0.043,rice,TC65,2,-2.2999723405371837
4,4,p700_reference,48.0,20.0,820nm,60971,20240807_080724_USDArice_TC65_2_DA,4,0.048,rice,TC65,2,-2.299670600942827
5,5,p700_reference,53.0,25.0,820nm,60973,20240807_080724_USDArice_TC65_2_DA,5,0.053,rice,TC65,2,-2.299746035841416
6,6,p700_reference,58.0,30.0,820nm,60971,20240807_080724_USDArice_TC65_2_DA,6,0.058,rice,TC65,2,-2.299670600942827
7,7,p700_reference,63.0,35.0,820nm,60985,20240807_080724_USDArice_TC65_2_DA,7,0.063,rice,TC65,2,-2.3001986452329515
8,8,p700_reference,68.0,40.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,8,0.068,rice,TC65,2,-2.2999723405371837
9,9,p700_reference,73.0,45.0,820nm,60965,20240807_080724_USDArice_TC65_2_DA,9,0.073,rice,TC65,2,-2.299444296247059
10,10,p700_reference,78.0,50.0,820nm,60975,20240807_080724_USDArice_TC65_2_DA,10,0.078,rice,TC65,2,-2.2998214707400053
11,11,p700_reference,83.0,55.0,820nm,60977,20240807_080724_USDArice_TC65_2_DA,11,0.083,rice,TC65,2,-2.2998969056385943
12,12,p700_reference,88.0,60.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,12,0.088,rice,TC65,2,-2.300123210334362
13,13,p700_reference,93.0,65.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,13,0.093,rice,TC65,2,-2.300123210334362
14,14,p700_reference,98.0,70.0,820nm,60973,20240807_080724_USDArice_TC65_2_DA,14,0.098,rice,TC65,2,-2.299746035841416
15,15,p700_reference,103.0,75.0,820nm,60971,20240807_080724_USDArice_TC65_2_DA,15,0.103,rice,TC65,2,-2.299670600942827
16,16,p700_reference,108.0,80.0,820nm,60995,20240807_080724_USDArice_TC65_2_DA,16,0.108,rice,TC65,2,-2.300575819725898
17,17,p700_reference,113.0,85.0,820nm,60987,20240807_080724_USDArice_TC65_2_DA,17,0.113,rice,TC65,2,-2.300274080131541
18,18,p700_reference,118.0,90.0,820nm,60989,20240807_080724_USDArice_TC65_2_DA,18,0.118,rice,TC65,2,-2.3003495150301303
19,19,p700_reference,123.0,95.0,820nm,60985,20240807_080724_USDArice_TC65_2_DA,19,0.123,rice,TC65,2,-2.3001986452329515
20,20,p700_reference,128.0,100.0,820nm,60993,20240807_080724_USDArice_TC65_2_DA,20,0.128,rice,TC65,2,-2.3005003848273087
21,21,p700_reference,133.0,105.0,820nm,60995,20240807_080724_USDArice_TC65_2_DA,21,0.133,rice,TC65,2,-2.300575819725898
22,22,p700_reference,138.0,110.0,820nm,60990,20240807_080724_USDArice_TC65_2_DA,22,0.138,rice,TC65,2,-2.300387232479425
23,23,p700_reference,143.0,115.0,820nm,60989,20240807_080724_USDArice_TC65_2_DA,23,0.143,rice,TC65,2,-2.3003495150301303
24,24,p700_reference,148.0,120.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,24,0.148,rice,TC65,2,-2.300123210334362
25,25,p700_reference,153.0,125.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,25,0.153,rice,TC65,2,-2.300123210334362
26,26,p700_reference,158.0,130.0,820nm,60995,20240807_080724_USDArice_TC65_2_DA,26,0.158,rice,TC65,2,-2.300575819725898
27,27,p700_reference,163.0,135.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,27,0.163,rice,TC65,2,-2.300123210334362
28,28,p700_reference,168.0,140.0,820nm,60990,20240807_080724_USDArice_TC65_2_DA,28,0.168,rice,TC65,2,-2.300387232479425
29,29,p700_reference,173.0,145.0,820nm,60975,20240807_080724_USDArice_TC65_2_DA,29,0.173,rice,TC65,2,-2.2998214707400053
30,30,p700_reference,178.0,150.0,820nm,60955,20240807_080724_USDArice_TC65_2_DA,30,0.178,rice,TC65,2,-2.2990671217541125
31,31,p700_reference,183.0,155.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,31,0.183,rice,TC65,2,-2.2999723405371837
32,32,p700_reference,188.0,160.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,32,0.188,rice,TC65,2,-2.2999723405371837
33,33,p700_reference,193.0,165.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,33,0.193,rice,TC65,2,-2.300123210334362
34,34,p700_reference,198.0,170.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,34,0.198,rice,TC65,2,-2.300123210334362
35,35,p700_reference,203.0,175.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,35,0.203,rice,TC65,2,-2.2999723405371837
36,36,p700_reference,208.0,180.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,36,0.208,rice,TC65,2,-2.300123210334362
37,37,p700_reference,213.0,185.0,820nm,60987,20240807_080724_USDArice_TC65_2_DA,37,0.213,rice,TC65,2,-2.300274080131541
38,38,p700_reference,218.0,190.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,38,0.218,rice,TC65,2,-2.300123210334362
39,39,p700_reference,223.0,195.0,820nm,60981,20240807_080724_USDArice_TC65_2_DA,39,0.223,rice,TC65,2,-2.300047775435773
40,40,p700_reference,228.0,200.0,820nm,61003,20240807_080724_USDArice_TC65_2_DA,40,0.228,rice,TC65,2,-2.300877559320255
41,41,p700_reference,233.0,205.0,820nm,60977,20240807_080724_USDArice_TC65_2_DA,41,0.233,rice,TC65,2,-2.2998969056385943
42,42,p700_reference,238.0,210.0,820nm,60993,20240807_080724_USDArice_TC65_2_DA,42,0.238,rice,TC65,2,-2.3005003848273087
43,43,p700_reference,243.0,215.0,820nm,60991,20240807_080724_USDArice_TC65_2_DA,43,0.243,rice,TC65,2,-2.3004249499287193
44,44,p700_reference,248.0,220.0,820nm,60998,20240807_080724_USDArice_TC65_2_DA,44,0.248,rice,TC65,2,-2.300688972073782
45,45,p700_reference,253.0,225.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,45,0.253,rice,TC65,2,-2.300123210334362
46,46,p700_reference,258.0,230.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,46,0.258,rice,TC65,2,-2.2999723405371837
47,47,p700_reference,263.0,235.0,820nm,60981,20240807_080724_USDArice_TC65_2_DA,47,0.263,rice,TC65,2,-2.300047775435773
48,48,p700_reference,268.0,240.0,820nm,60986,20240807_080724_USDArice_TC65_2_DA,48,0.268,rice,TC65,2,-2.3002363626822464
49,49,p700_reference,273.0,245.0,820nm,60975,20240807_080724_USDArice_TC65_2_DA,49,0.273,rice,TC65,2,-2.2998214707400053
50,50,p700_reference,278.0,250.0,820nm,60982,20240807_080724_USDArice_TC65_2_DA,50,0.278,rice,TC65,2,-2.3000854928850676
51,51,p700_reference,283.0,255.0,820nm,60975,20240807_080724_USDArice_TC65_2_DA,51,0.283,rice,TC65,2,-2.2998214707400053
52,52,p700_reference,288.0,260.0,820nm,60977,20240807_080724_USDArice_TC65_2_DA,52,0.288,rice,TC65,2,-2.2998969056385943
53,53,p700_reference,293.0,265.0,820nm,60999,20240807_080724_USDArice_TC65_2_DA,53,0.293,rice,TC65,2,-2.300726689523076
54,54,p700_reference,298.0,270.0,820nm,60981,20240807_080724_USDArice_TC65_2_DA,54,0.298,rice,TC65,2,-2.300047775435773
55,55,p700_reference,303.0,275.0,820nm,60999,20240807_080724_USDArice_TC65_2_DA,55,0.303,rice,TC65,2,-2.300726689523076
56,56,p700_reference,308.0,280.0,820nm,60991,20240807_080724_USDArice_TC65_2_DA,56,0.308,rice,TC65,2,-2.3004249499287193
57,57,p700_reference,313.0,285.0,820nm,60987,20240807_080724_USDArice_TC65_2_DA,57,0.313,rice,TC65,2,-2.300274080131541
58,58,p700_reference,318.0,290.0,820nm,60989,20240807_080724_USDArice_TC65_2_DA,58,0.318,rice,TC65,2,-2.3003495150301303
59,59,p700_reference,323.0,295.0,820nm,60986,20240807_080724_USDArice_TC65_2_DA,59,0.323,rice,TC65,2,-2.3002363626822464
60,60,p700_reference,328.0,300.0,820nm,60984,20240807_080724_USDArice_TC65_2_DA,60,0.328,rice,TC65,2,-2.300160927783657
61,61,p700_reference,333.0,305.0,820nm,60985,20240807_080724_USDArice_TC65_2_DA,61,0.333,rice,TC65,2,-2.3001986452329515
62,62,p700_reference,338.0,310.0,820nm,60963,20240807_080724_USDArice_TC65_2_DA,62,0.338,rice,TC65,2,-2.2993688613484697
63,63,p700_reference,343.0,315.0,820nm,60987,20240807_080724_USDArice_TC65_2_DA,63,0.343,rice,TC65,2,-2.300274080131541
64,64,p700_reference,348.0,320.0,820nm,60991,20240807_080724_USDArice_TC65_2_DA,64,0.348,rice,TC65,2,-2.3004249499287193
65,65,p700_reference,353.0,325.0,820nm,60987,20240807_080724_USDArice_TC65_2_DA,65,0.353,rice,TC65,2,-2.300274080131541
66,66,p700_reference,358.0,330.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,66,0.358,rice,TC65,2,-2.2999723405371837
67,67,p700_reference,363.0,335.0,820nm,60987,20240807_080724_USDArice_TC65_2_DA,67,0.363,rice,TC65,2,-2.300274080131541
68,68,p700_reference,368.0,340.0,820nm,60985,20240807_080724_USDArice_TC65_2_DA,68,0.368,rice,TC65,2,-2.3001986452329515
69,69,p700_reference,373.0,345.0,820nm,60981,20240807_080724_USDArice_TC65_2_DA,69,0.373,rice,TC65,2,-2.300047775435773
70,70,p700_reference,378.0,350.0,820nm,60999,20240807_080724_USDArice_TC65_2_DA,70,0.378,rice,TC65,2,-2.300726689523076
71,71,p700_reference,383.0,355.0,820nm,60995,20240807_080724_USDArice_TC65_2_DA,71,0.383,rice,TC65,2,-2.300575819725898
72,72,p700_reference,388.0,360.0,820nm,60991,20240807_080724_USDArice_TC65_2_DA,72,0.388,rice,TC65,2,-2.3004249499287193
73,73,p700_reference,393.0,365.0,820nm,60987,20240807_080724_USDArice_TC65_2_DA,73,0.393,rice,TC65,2,-2.300274080131541
74,74,p700_reference,398.0,370.0,820nm,60982,20240807_080724_USDArice_TC65_2_DA,74,0.398,rice,TC65,2,-2.3000854928850676
