,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,43.0,15.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,3,0.043,rice,TC65,2,-2.299972340537184,0.004891795027002356
1,4,4,p700_reference,48.0,20.0,820nm,60971,20240807_080724_USDArice_TC65_2_DA,4,0.048,rice,TC65,2,-2.299670600942827,0.01817667136460455
2,5,5,p700_reference,53.0,25.0,820nm,60973,20240807_080724_USDArice_TC65_2_DA,5,0.053,rice,TC65,2,-2.299746035841416,0.014855452280218666
3,6,6,p700_reference,58.0,30.0,820nm,60971,20240807_080724_USDArice_TC65_2_DA,6,0.058,rice,TC65,2,-2.299670600942827,0.01817667136460455
4,7,7,p700_reference,63.0,35.0,820nm,60985,20240807_080724_USDArice_TC65_2_DA,7,0.063,rice,TC65,2,-2.3001986452329515,-0.00507186222617485
5,8,8,p700_reference,68.0,40.0,820nm,60979,20240807_080724_USDArice_TC65_2_DA,8,0.068,rice,TC65,2,-2.299972340537184,0.004891795027002356
6,9,9,p700_reference,73.0,45.0,820nm,60965,20240807_080724_USDArice_TC65_2_DA,9,0.073,rice,TC65,2,-2.299444296247059,0.028140328617801306
7,10,10,p700_reference,78.0,50.0,820nm,60975,20240807_080724_USDArice_TC65_2_DA,10,0.078,rice,TC65,2,-2.2998214707400053,0.011534233195813228
8,11,11,p700_reference,83.0,55.0,820nm,60977,20240807_080724_USDArice_TC65_2_DA,11,0.083,rice,TC65,2,-2.2998969056385943,0.008213014111427344
9,12,12,p700_reference,88.0,60.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,12,0.088,rice,TC65,2,-2.300123210334362,-0.001750643141769413
10,13,13,p700_reference,93.0,65.0,820nm,60983,20240807_080724_USDArice_TC65_2_DA,13,0.093,rice,TC65,2,-2.300123210334362,-0.001750643141769413
11,14,14,p700_reference,98.0,70.0,820nm,60973,20240807_080724_USDArice_TC65_2_DA,14,0.098,rice,TC65,2,-2.299746035841416,0.014855452280218666
