,Unnamed: 0.1,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs,ox_fraction
0,3,3,p700_reference,41.0,15.0,820nm,54769,20240807_080724_USDArice_aPho1DL80_1_DA,3,0.041,rice,aPho1DL80,1,-2.2995661380812717,0.0161973147155058
1,4,4,p700_reference,46.0,20.0,820nm,54771,20240807_080724_USDArice_aPho1DL80_1_DA,4,0.046,rice,aPho1DL80,1,-2.299650111355864,0.012901033368258251
2,5,5,p700_reference,51.0,25.0,820nm,54785,20240807_080724_USDArice_aPho1DL80_1_DA,5,0.051,rice,aPho1DL80,1,-2.300237924278012,-0.010172936062614062
3,6,6,p700_reference,56.0,30.0,820nm,54783,20240807_080724_USDArice_aPho1DL80_1_DA,6,0.056,rice,aPho1DL80,1,-2.300153951003419,-0.006876654715331647
4,7,7,p700_reference,61.0,35.0,820nm,54789,20240807_080724_USDArice_aPho1DL80_1_DA,7,0.061,rice,aPho1DL80,1,-2.300405870827197,-0.016765498757144028
5,8,8,p700_reference,66.0,40.0,820nm,54783,20240807_080724_USDArice_aPho1DL80_1_DA,8,0.066,rice,aPho1DL80,1,-2.300153951003419,-0.006876654715331647
6,9,9,p700_reference,71.0,45.0,820nm,54771,20240807_080724_USDArice_aPho1DL80_1_DA,9,0.071,rice,aPho1DL80,1,-2.299650111355864,0.012901033368258251
7,10,10,p700_reference,76.0,50.0,820nm,54783,20240807_080724_USDArice_aPho1DL80_1_DA,10,0.076,rice,aPho1DL80,1,-2.300153951003419,-0.006876654715331647
8,11,11,p700_reference,81.0,55.0,820nm,54775,20240807_080724_USDArice_aPho1DL80_1_DA,11,0.081,rice,aPho1DL80,1,-2.299818057905049,0.006308470673728285
9,12,12,p700_reference,86.0,60.0,820nm,54779,20240807_080724_USDArice_aPho1DL80_1_DA,12,0.086,rice,aPho1DL80,1,-2.2999860044542344,-0.00028409202081911304
10,13,13,p700_reference,91.0,65.0,820nm,54781,20240807_080724_USDArice_aPho1DL80_1_DA,13,0.091,rice,aPho1DL80,1,-2.300069977728827,-0.003580373368084096
11,14,14,p700_reference,96.0,70.0,820nm,54776,20240807_080724_USDArice_aPho1DL80_1_DA,14,0.096,rice,aPho1DL80,1,-2.2998600445423456,0.004660330000078362
12,15,15,p700_reference,101.0,75.0,820nm,54791,20240807_080724_USDArice_aPho1DL80_1_DA,15,0.101,rice,aPho1DL80,1,-2.3004898441017896,-0.02006178010440901
13,16,16,p700_reference,106.0,80.0,820nm,54785,20240807_080724_USDArice_aPho1DL80_1_DA,16,0.106,rice,aPho1DL80,1,-2.300237924278012,-0.010172936062614062
14,17,17,p700_reference,111.0,85.0,820nm,54783,20240807_080724_USDArice_aPho1DL80_1_DA,17,0.111,rice,aPho1DL80,1,-2.300153951003419,-0.006876654715331647
15,18,18,p700_reference,116.0,90.0,820nm,54779,20240807_080724_USDArice_aPho1DL80_1_DA,18,0.116,rice,aPho1DL80,1,-2.2999860044542344,-0.00028409202081911304
16,19,19,p700_reference,121.0,95.0,820nm,54793,20240807_080724_USDArice_aPho1DL80_1_DA,19,0.121,rice,aPho1DL80,1,-2.3005738173763826,-0.023358061451691427
