,Unnamed: 0,labels,time_ms,time_ms_trace,wavelength,value,experiment_name,trace_num,time_s,plant_species,plant_genotype,plant_id,dAbs
3,3,p700_reference,42.0,15.0,820nm,57130,20240807_080724_USDArice_aPho1_1_DA,3,0.042,rice,aPho1,1,-2.299586747932573
4,4,p700_reference,47.0,20.0,820nm,57119,20240807_080724_USDArice_aPho1_1_DA,4,0.047,rice,aPho1,1,-2.299143977860329
5,5,p700_reference,52.0,25.0,820nm,57115,20240807_080724_USDArice_aPho1_1_DA,5,0.052,rice,aPho1,1,-2.298982970561332
6,6,p700_reference,57.0,30.0,820nm,57139,20240807_080724_USDArice_aPho1_1_DA,6,0.057,rice,aPho1,1,-2.299949014355317
7,7,p700_reference,62.0,35.0,820nm,57143,20240807_080724_USDArice_aPho1_1_DA,7,0.062,rice,aPho1,1,-2.3001100216543144
8,8,p700_reference,67.0,40.0,820nm,57149,20240807_080724_USDArice_aPho1_1_DA,8,0.067,rice,aPho1,1,-2.3003515326028108
9,9,p700_reference,72.0,45.0,820nm,57142,20240807_080724_USDArice_aPho1_1_DA,9,0.072,rice,aPho1,1,-2.300069769829565
10,10,p700_reference,77.0,50.0,820nm,57137,20240807_080724_USDArice_aPho1_1_DA,10,0.077,rice,aPho1,1,-2.299868510705818
11,11,p700_reference,82.0,55.0,820nm,57139,20240807_080724_USDArice_aPho1_1_DA,11,0.082,rice,aPho1,1,-2.299949014355317
12,12,p700_reference,87.0,60.0,820nm,57139,20240807_080724_USDArice_aPho1_1_DA,12,0.087,rice,aPho1,1,-2.299949014355317
13,13,p700_reference,92.0,65.0,820nm,57143,20240807_080724_USDArice_aPho1_1_DA,13,0.092,rice,aPho1,1,-2.3001100216543144
14,14,p700_reference,97.0,70.0,820nm,57150,20240807_080724_USDArice_aPho1_1_DA,14,0.097,rice,aPho1,1,-2.3003917844275605
15,15,p700_reference,102.0,75.0,820nm,57135,20240807_080724_USDArice_aPho1_1_DA,15,0.102,rice,aPho1,1,-2.2997880070563195
