plant_species,plant_genotype,plant_id,ue,Pm,Pmp,P,Po,Y(I),Y(ND),Y(NA)
rice,Pho1[-C]#22,1,250,1.0,0.6461128496248384,0.3356804767194718,0.0061969443380022,0.3104323729053665,0.3294835323814696,0.3538871503751616
rice,Pho1[-C]#22,1,500,1.0,0.6082399660357186,0.3509157177693427,0.0023892608754459,0.2573242482663759,0.3485264568938968,0.3917600339642814
rice,Pho1[-C]#22,1,1000,1.0,0.7406086247523169,0.5261979112454187,0.0003989365834883,0.2144107135068982,0.5257989746619303,0.2593913752476831
rice,Pho1[-C]#22,1,1700,1.0,0.8136816989685359,0.7002600140616283,0.0026403994991837,0.1134216849069076,0.6976196145624445,0.186318301031464
rice,Pho1[-C]#22,2,250,1.0,0.6492080189702747,0.2978629166190162,-0.0015587358862323,0.3513451023512585,0.2994216525052485,0.3507919810297253
rice,Pho1[-C]#22,2,500,1.0,0.6818096302292654,0.3759143231919794,-0.0012523530984057,0.305895307037286,0.3771666762903852,0.3181903697707345
rice,Pho1[-C]#22,2,1000,1.0,0.8123708389041155,0.6213322462597333,-0.0006392526458257,0.1910385926443822,0.621971498905559,0.1876291610958844
rice,Pho1[-C]#22,2,1700,1.0,0.8223500278609503,0.6935023590326364,-0.0017132436482228,0.128847668828314,0.6952156026808592,0.1776499721390496
rice,Pho1[-C]#33,1,250,1.0,0.5656132986146128,0.280010467084031,0.0030498903229071,0.2856028315305818,0.2769605767611238,0.4343867013853871
rice,Pho1[-C]#33,1,500,1.0,0.566532764352455,0.3271431820681398,-0.0047378297351074,0.2393895822843152,0.3318810118032473,0.4334672356475449
rice,Pho1[-C]#33,1,1000,1.0,0.6308813281296023,0.4886367824065991,-0.0025335358977896,0.1422445457230031,0.4911703183043888,0.3691186718703977
rice,Pho1[-C]#33,1,1700,1.0,0.7327752883442126,0.634824616091124,0.0012542721274335,0.0979506722530886,0.6335703439636904,0.2672247116557874
rice,Pho1[-C]#33,2,250,1.0,0.5646761664279192,0.2526049432598991,-0.0015973257748257,0.3120712231680201,0.2542022690347248,0.4353238335720808
rice,Pho1[-C]#33,2,500,1.0,0.6297972276142282,0.3866793976118854,0.0003631324946539,0.2431178300023427,0.3863162651172314,0.3702027723857718
rice,Pho1[-C]#33,2,1000,1.0,0.6998493229898647,0.5151152618565598,0.0037541744463453,0.1847340611333049,0.5113610874102145,0.3001506770101353
rice,Pho1[-C]#33,2,1700,1.0,0.4170875624432055,0.3505921659879554,0.0006546857365954,0.0664953964552501,0.3499374802513599,0.5829124375567944
rice,Pho1[-C]#35,1,250,1.0,0.5263969415878682,0.1618650506095048,0.0014125393038448,0.3645318909783633,0.16045251130566,0.4736030584121318
rice,Pho1[-C]#35,1,500,1.0,0.572937432058843,0.2572110091686206,0.0027144661039689,0.3157264228902223,0.2544965430646516,0.427062567941157
rice,Pho1[-C]#35,1,1000,1.0,0.6870389061142854,0.4506242063405049,0.002409573201894,0.2364146997737805,0.4482146331386108,0.3129610938857146
rice,Pho1[-C]#35,1,1700,1.0,0.7284627717230361,0.5917245279852249,0.0022695806799892,0.1367382437378111,0.5894549473052357,0.2715372282769639
rice,Pho1[-C]#35,2,250,1.0,0.6825694227354491,0.3574540374002645,-0.0007267743216229,0.3251153853351846,0.3581808117218874,0.3174305772645509
rice,Pho1[-C]#35,2,500,1.0,0.7641397911386963,0.5086058448851563,0.0007279293681178,0.2555339462535401,0.5078779155170384,0.2358602088613036
rice,Pho1[-C]#35,2,1000,1.0,0.7726489787207048,0.627873902355906,0.0033318956241894,0.1447750763647988,0.6245420067317166,0.2273510212792951
rice,Pho1[-C]#35,2,1700,1.0,0.4906733280157961,0.4259716442046107,-0.0016550070685243,0.0647016838111854,0.427626651273135,0.5093266719842039
rice,Pho1[-C]#4,1,250,1.0,0.681310236176177,0.3960263847822663,0.0012689334887877,0.2852838513939107,0.3947574512934786,0.3186897638238229
rice,Pho1[-C]#4,1,500,1.0,0.6545233087998883,0.4400631638216256,0.0004029533555511,0.2144601449782627,0.4396602104660744,0.3454766912001117
rice,Pho1[-C]#4,1,1000,1.0,0.731520516597087,0.5859055620436656,-0.0017530630828111,0.1456149545534213,0.5876586251264767,0.268479483402913
rice,Pho1[-C]#4,1,1700,1.0,0.7900141768294421,0.7223833499297574,-0.0007462607668953,0.0676308268996846,0.7231296106966528,0.2099858231705579
rice,Pho1[-C]#4,2,250,1.0,0.4982163666517955,0.1753674195582804,0.0044360721597807,0.3228489470935151,0.1709313473984996,0.5017836333482045
rice,Pho1[-C]#4,2,500,1.0,0.5159696812614454,0.2320191295303159,0.0014434643143583,0.2839505517311294,0.2305756652159576,0.4840303187385546
rice,Pho1[-C]#4,2,1000,1.0,0.6539945851383029,0.4240200098187635,0.0009892647952893,0.2299745753195393,0.4230307450234742,0.3460054148616971
rice,Pho1[-C]#4,2,1700,1.0,0.7609092242105163,0.5885923841427441,0.0069829080176294,0.1723168400677722,0.5816094761251146,0.2390907757894836
rice,Pho1[-HT]#22,1,250,1.0,0.5679275196649165,0.2074593320475351,0.0007356384086513,0.3604681876173813,0.2067236936388838,0.4320724803350835
rice,Pho1[-HT]#22,1,500,1.0,0.5562056299589684,0.2713225436795248,-0.0006387645846738,0.2848830862794436,0.2719613082641987,0.4437943700410316
rice,Pho1[-HT]#22,1,1000,1.0,0.6582949245998717,0.441198945116614,-0.007791399916539,0.2170959794832577,0.448990345033153,0.3417050754001283
rice,Pho1[-HT]#22,1,1700,1.0,0.7291200699723219,0.6058485939978746,-0.0054069107083046,0.1232714759744473,0.6112555047061793,0.2708799300276781
rice,Pho1[-HT]#22,2,250,1.0,0.6032593903829752,0.3048590021626724,-0.0042386338761064,0.2984003882203027,0.3090976360387789,0.3967406096170248
rice,Pho1[-HT]#22,2,500,1.0,0.673987359982028,0.4097169432865438,-0.0025330235020962,0.2642704166954842,0.41224996678864,0.326012640017972
rice,Pho1[-HT]#22,2,1000,1.0,0.6803130534578349,0.5131004589559843,-0.0056979217134304,0.1672125945018505,0.5187983806694149,0.3196869465421651
rice,Pho1[-HT]#22,2,1700,1.0,0.5485978041020548,0.4565243394304087,-0.006886734826073,0.0920734646716461,0.4634110742564817,0.4514021958979451
rice,Pho1[-HT]#24,1,250,1.0,0.4768769400447686,0.1748165481099123,0.0005441761584767,0.3020603919348562,0.1742723719514356,0.5231230599552315
rice,Pho1[-HT]#24,1,500,1.0,0.4817134539785021,0.2193419421397466,0.0007534252177963,0.2623715118387555,0.2185885169219502,0.5182865460214978
rice,Pho1[-HT]#24,1,1000,1.0,0.5682550447748811,0.3899351309987491,0.000314031888796,0.178319913776132,0.389621099109953,0.4317449552251189
rice,Pho1[-HT]#24,1,1700,1.0,0.6439525390030347,0.5337546263411312,0.0008171053065613,0.1101979126619034,0.5329375210345699,0.3560474609969652
rice,Pho1[-HT]#24,2,250,1.0,0.5445533475130071,0.2155018677282824,0.0009796656175755,0.3290514797847247,0.2145222021107068,0.4554466524869929
rice,Pho1[-HT]#24,2,500,1.0,0.6113738870760653,0.2936208472582893,0.001361913392173,0.317753039817776,0.2922589338661162,0.3886261129239347
rice,Pho1[-HT]#24,2,1000,1.0,0.7311626804289242,0.5126305774446759,0.0018150101176331,0.2185321029842483,0.5108155673270428,0.2688373195710758
rice,Pho1[-HT]#24,2,1700,1.0,0.8031117370294133,0.681345569372846,-0.0017017768016114,0.1217661676565673,0.6830473461744574,0.1968882629705867
rice,Pho1[-M]#22,1,250,1.0,0.4999769138859161,0.1555021543602967,0.0050549821582391,0.3444747595256193,0.1504471722020575,0.500023086114084
