plant_species,plant_genotype,plant_id,fvfm,250,500,1000,1700
rice,aPho1DL80,1,0.87,0.7,0.63,0.51,0.34
rice,aPho1DL80,2,0.9,0.69,0.62,0.52,0.34
rice,aPho1,1,0.88,0.66,0.59,0.48,0.34
rice,aPho1,2,0.88,0.66,0.65,0.5,0.32
rice,aPho1,3,0.84,0.65,0.59,0.46,0.35
rice,BMF136,1,0.89,0.69,0.66,0.53,0.35
rice,BMF136,2,0.86,0.71,0.62,0.49,0.36
rice,Pho1C33,1,0.86,0.69,0.6,0.49,0.35
rice,Pho1C33,2,0.89,0.71,0.64,0.52,0.34
rice,Pho1C35,1,0.89,0.69,0.62,0.47,0.36
rice,Pho1C35,2,0.86,0.64,0.59,0.53,0.32
rice,Pho1DL80K4,1,0.87,0.65,0.62,0.51,0.33
rice,Pho1DL80K4,2,0.88,0.65,0.61,0.48,0.37
rice,Pho1K11,1,0.87,0.65,0.6,0.51,0.34
rice,Pho1K11,2,0.88,0.69,0.61,0.5,0.39
rice,Pho1K15,1,0.85,0.69,0.59,0.48,0.35
rice,Pho1K15,2,0.82,0.64,0.57,0.46,0.31
rice,Pho1M34,1,0.91,0.7,0.65,0.47,0.37
rice,Pho1M34,2,0.92,0.69,0.62,0.52,0.4
rice,Pho1M34,3,0.85,0.64,0.6,0.54,0.31
rice,Pho1N22,1,0.9,0.73,0.68,0.53,0.38
rice,Pho1N22,2,0.84,0.68,0.64,0.5,0.39
rice,TC65,1,0.92,0.73,0.66,0.54,0.39
rice,TC65,2,0.86,0.7,0.63,0.52,0.4
